Name,TAX_ID_1,TAX_ID_2,Address,Address Line 2,City,County,State,Postal Code,Hours of Operation,Phone1Number,Phone1Name,Phone2Number,Phone2Name,Phone3Number,Phone3Name,Phone4Number,Phone4Name,Phone5Number,Phone5name,PhoneFax,PhoneTTY,PhoneTollFree,PhoneNumberHotline,PhoneNumberBusinessLine,PhoneNumberAfterHours,EmailAddressMain,WebsiteAddress,AgencyClassification,AgencyDescription,CoverageArea,CoverageAreaText,Eligibility,LicenseAccreditation,IRSStatus,LegalStatus,SourceOfFunds,DisabilitiesAccess,FeeStructureSource,ApplicationProcess,DocumentsRequired,TaxonomyTerm / Services Provided,Coverage,lat,lon
"Stephen Driscoll, PhD",31150009000000090060000000,31150009000000090060000000,505 Winkworth Parkway,,Syracuse,Onondaga,NY,13215,"Semi-retired; by appointment, call for details",,,,,,,,,,,,,,,315-476-0046,,,,,"<p> Provides mental health counseling to individuals ages 7 years and older.<br /> <br /> ==============================<br /> Therapist, Counselor, PhD, Psychologist</p>","Cayuga, Cortland, Madison, Oneida, Onondaga, and Oswego counties",,Individuals ages 7 years and older,NY 68 003996 (11/18),Commercial,Private Practice,,Fully Accessible,Call to verify insurance information,Appointment required; call for information,Picture ID and proof of insurance; call for additional details,Individual Counseling; Eating Disorders Treatment; Pain Management; Gender Identity Counseling; Bereavement Counseling; Marriage Counseling; Divorce Counseling; Stress Management; Adolescent/Youth Counseling; Parent Counseling; Behavior Modification; Cognitive Behavioral Therapy; Private Counseling / Therapy; Conjoint Counseling; Individual Counseling; Internet Counseling; Conjoint Counseling; Individual Counseling; Conjoint Counseling; Individual Counseling; Conjoint Counseling; Individual Counseling; Conjoint Counseling; Individual Counseling; Conjoint Counseling; Adolescent/Youth Counseling; Adolescent/Youth Counseling; Adolescent/Youth Counseling; Adolescent/Youth Counseling; Adolescent/Youth Counseling; Eye Movement Desensitization and Reprocessing; Progressive Relaxation; Hypnotherapy;,NY - Onondaga County; NY - Cayuga County; NY - Cortland County; NY - Madison County; NY - Oneida County; NY - Oswego County;,-76.19924678,43.02492193
NAMI Syracuse,31150011200000180010000000,31150011200000180010000000,917 Avery Avenue,,Syracuse,Onondaga,NY,13204,"Administrative hours: Monday - Friday, 9 AM - 3 PM Support group meets the third Tuesday of the month, 7 PM",,,,,,,,,,,315-487-2154,,800-950-6264,,315-487-2085,,namisyracuse@namisyracuse.org,www.namisyracuse.org,"Private, Nonprofit","<p> Provides services for parents and relatives of individuals with mental illness including information and resources, family support and education classes, school-based education, and a monthly support group.<br /> <br /> ===========================<br /> National Alliance on Mental Illness</p>",Onondaga and Oswego counties,,Onondaga and Oswego County residents,,501(c)(3),Voluntary association,Donations,Fully Accessible,Meetings are free; $35 membership dues,Call for information and services,None,Mental Health Related Support Groups; Information and Referral; Disability Related Parenting Programs; General Mental Health Information/Education;,NY - Onondaga County; NY - Oswego County;,-76.19696261,43.05438955
"Kelly Murphy, LCAT, ATR-BC",31150011100000190240000000,31150011100000190240000000,712 Hamilton Street,,Syracuse,Onondaga,NY,13204,"Daily, by appointment; call for availability",,,,,,,,,,,,,,,315-727-1850,,creativekelly@live.com,,,"Provides in-home art therapy / psychotherapy for individuals ages 4 years and older focused on creative art therapy techniques. Specializes in serious illness, terminal illness, grief, loss, and bereavement. <br /><br />================================<br />Therapist, Counselor, Art Therapy Credentials Board, ATCB, ATR-BC, LCAT, Licensed Creative Arts Therapist, Kelly M Murphy, Kelly M. Murphy","Cayuga, Madison, and Onondaga counties",,Individuals ages 4 years and older,NY 05 001172 (08/19),Commercial,Private Practice,,Not applicable; services provided off-site,Private pay only; call for sliding scale details,Appointment required; call for information,No documentation initially required,Bereavement Counseling; Terminal Illness Counseling; Home Based Mental Health Services; Art Therapy; Private Counseling / Therapy; Health/Disability Related Counseling;,NY - Onondaga County; NY - Madison County; NY - Cayuga County;,-76.19356222,43.04821981
Onondaga County Water Authority,31150011400000020160000000,31150011400000020160000000,200 Northern Concourse,,Syracuse,Onondaga,NY,13212,"Monday - Friday, 8 AM - 4:30 PMEmergency Answering service available 24 Hours / 7 Days",315-455-7061 x3335,Customer Service,315-455-7061,"After-hours & weekends, Emergency Answering Service",877-768-8266,To Pay Bill by Phone,315-455-6578,Fax,,,,,,,,,,www.ocwa.org/,,Supplies water to the residents and business in the Central New York Region.,"Onondaga County and parts of Cayuga, Madison, Oneida, and Oswego counties",,"Residents in Onondaga County and parts of Cayuga, Madison, Oneida, and Oswego counties",,501(c)(3),Nonprofit - Incorporated,,Fully Accessible,"Water rates vary depending on residential, commercial, industrial, municipal, or fire protection service needs; call for details",Call or go online for information and services,None,Water Connection Permits; Water Quality Information/Reporting; Water Quality Monitoring; Water Service Connection/Repair; Water Service Providers; Water Supply System;,NY - Onondaga County; NY - Oneida County; NY - Oswego County; NY - Madison County;,-76.18347047,43.0660321
Onondaga County Department of Water Environment Protection (WEP),31150011400000020160000000,31150011400000020160000000,650 Hiawatha Boulevard West,,Syracuse,Onondaga,NY,13204,"Monday - Friday, 8 AM - 4 PM",315-435-2260,Business Line,315-435-3157,Sewer Service Requests,315-435-5425,Plumbing Control,,,,,,,,,,,,www.ongov.net/wep,,"Protects and improves the water environment of Onondaga County with wastewater treatment, storm water management, and other green programs including a tree planting program and a free rain barrel program for city residents in eligible areas. Also maintains the sewer system for all of Onondaga County outside of the City of Syracuse, Baldwinsville, and North Syracuse (for residents of those three areas contact their respective Department of Public Works).",Onondaga County,,Onondaga County residents,,None or unknown,Government - County,,Limited Accessibility; call for details,,,,,NY - Onondaga County;,-76.18347047,43.0660321
The Newland Center for Adult Learning and Literacy,31150010900000090300020000,31150010900000090300020000,1443 East Genesee Street,,Syracuse,Onondaga,NY,13210,"Monday - Thursday, 9:00 AM - 5:00 PMFriday, 9 AM - 12 Nonn",,,,,,,,,,,315-425-9028,,,,315-471-1446,,director@thelearningplace.org,www.thenewlandcenter.org,Public-Federal,"Provides one-on-one and small group tutoring to out of school teenagers and adults, level 0 through GED. Those providing services are trained volunteers. English as a Second Langauge classes are also available.",Onondaga County,,Teens and adults in Onondaga County,,501(c)(3),Voluntary association,SCESP under Title V Older American Act,Ramp; Limited Access;,None,Call for information,None,Adult Literacy Programs;,NY - Onondaga County;,-76.18281874,43.05150293
Catholic Charities of Onondaga County,31150009100000020320010000,31150009100000020320010000,1654 West Onondaga Street,,Syracuse,Onondaga,NY,13204,"Monday - Friday, 8:30 AM - 4:30 PM",,,,,,,,,,,315-424-8262,,,,315-424-1800,,,www.ccoc.us,"Private, Nonprofit",<p> Provides a variety of human services programs to all populations.<br /> <br /> ================================<br /> Catholic Charities Diocese of Syracuse</p>,Onondaga County,,Onondaga County residents,,501(c)(3),Nonprofit - Unincorporated,Church; private; government; United Way of Central New York,Fully Accessible,,,,Volunteer Opportunities;,NY - Onondaga County;,-76.18201265,43.03427427
On Point for College,31150009100000020320010000,31150009100000020320010000,1654 West Onondaga Street,,Syracuse,Onondaga,NY,13204,"Administrative hours: Monday - Friday, 9 AM - 5 PM Satellite sites vary with after-school and evening hours",315-362-5003,Syracuse Area Information,315-790-5588,Utica Area Information,877-492-9349,Syracuse Area Fax,315-790-5661,Utica Area Fax,,,,,,,,,info@onpointforcollege.org,www.onpointforcollege.org,"Private, Nonprofit","Provides a college access and success program which helps low-income and first-generation college students enroll and stay in college. <span id=cphBody_lblAgencyDescription>Services include support with college and financial aid applications, advisement, limited financial assistance, transportation to and from college, and provision of college supplies. Provides a jobs program for participants of the On Point for College program that assists students in getting summer internship or permanent jobs.</span>","Oneida and Onondaga counties, primarily Syracuse and Utica inner-city",,Low-income youth and youth becoming first-generation college students,,501(c)(3),Nonprofit - Incorporated,"Private and Family Foundations, Corporations, Government, and Gifts",Accessibility varies by location; call for details,None,Call 315-362-5003 for information on meeting with staff advisors one-on-one and signing up for the program at the main office or one of 15 community center sites throughout Syracuse area,Call for required documentation,College/University Entrance Support; College/University Entrance Support; College/University Entrance Support; College/University Entrance Support; College/University Entrance Support; College/University Entrance Support;,NY - Onondaga County; NY - Oneida County;,-76.18201265,43.03427427
The Determination Center,31150009100000020320010000,31150009100000020320010000,1654 West Onondaga Street,,Syracuse,Onondaga,NY,13204,"Monday - Friday, 2 PM - 8 PM",,,,,,,,,,,,,,,315-396-0148,,othedeterminati@twcny.rr.com,www.thedeterminationcenter.org/,,"Provides after-school services for at-risk youth including homework assistance, mentoring, a computer lab and library as well as sports and recreational activities such as music, drama, basketball, and karate.<br /><br />===========================<br />Determination Center",Onondaga County,,Children and adolescents ages 5 -17 years old,,501(c)(3),Nonprofit - Unincorporated,,Fully Accessible,None,Call to schedule a visit,None,Homework Help Programs; Adult/Child Mentoring Programs; Public Access Computers/Tools; Music Instruction; Acting Instruction; Basketball; Karate; Volunteer Opportunities;,NY - Onondaga County;,-76.18201265,43.03427427
Toomey Residential and Community Services,31150009100000020320010000,31150009100000020320010000,1654 West Onondaga Street,,Syracuse,Onondaga,NY,13204,"Monday - Friday, 8:30 AM - 4:30 PM",,,,,,,,,,,315-424-7567,,,,315-424-1845,,,www.ccoc.us/toomey-services.html,"Private, Nonprofit","Provides community based clinical treatment services and programs for children, adolescents, and adults and their families. Serves individuals with developmental disabilities, mental health diagnoses, and children in the foster care system.<br /><br />============================<br />Toomey Residential & Community Services",Onondaga County,,"Individuals with developmental disabilities, foster children, foster families, children with mental health diagnoses, and unaccompanied refugee minors",,501(c)(3),Nonprofit - Unincorporated,,Fully Accessible,Call for fee information,Call for information and services,Call for required documentation,,NY - Onondaga County;,-76.18201265,43.03427427
