Census Tract,With earnings,With Social Security,With retirement income,With Supplemental Security Income,With cash public assistance income,With Food Stamp/SNAP benefits in the past 12 months
5.01,0.71,0.22,0.08,0.12,0.22,0.50
6.00,0.69,0.28,0.09,0.20,0.20,0.47
14.00,0.63,0.35,0.08,0.24,0.23,0.63
15.00,0.75,0.20,0.09,0.16,0.24,0.49
17.01,0.56,0.34,0.20,0.08,0.18,0.33
21.01,0.77,0.21,0.14,0.06,0.12,0.44
24.00,0.67,0.15,0.09,0.15,0.20,0.45
30.00,0.39,0.38,0.05,0.33,0.19,0.70
36.01,0.62,0.24,0.16,0.12,0.07,0.38
38.00,0.54,0.37,0.21,0.25,0.10,0.56
39.00,0.57,0.27,0.12,0.18,0.17,0.57
40.00,0.68,0.30,0.10,0.08,0.15,0.60
42.00,0.58,0.19,0.04,0.15,0.34,0.75
43.01,0.28,0.35,0.09,0.28,0.10,0.67
51.00,0.70,0.26,0.12,0.18,0.09,0.36
52.00,0.58,0.32,0.25,0.17,0.20,0.49
53.00,0.65,0.29,0.11,0.15,0.13,0.46
54.00,0.69,0.28,0.16,0.21,0.15,0.53
58.00,0.70,0.38,0.08,0.25,0.21,0.44
59.00,0.66,0.32,0.17,0.11,0.15,0.48
