Census Tract,Occupied Commercial,Occupied Other,Occupied Public,Owner Occupied,Parking and Lots,Rental Occupied,Vacant Property,Unemployed,Average of AssessedValue,TotalOpenCodeViolations
5.01,0.24,0.00,0.02,0.10,0.18,0.38,0.08,0.10,79730.46,664.00
6.00,0.02,0.00,0.00,0.42,0.04,0.45,0.06,0.15,80711.24,557.00
14.00,0.03,0.00,0.00,0.31,0.05,0.50,0.10,0.08,67775.99,751.00
15.00,0.04,0.00,0.01,0.33,0.05,0.50,0.07,0.10,60856.72,531.00
17.01,0.05,0.01,0.01,0.50,0.06,0.33,0.05,0.08,75571.38,299.00
21.01,0.17,0.01,0.02,0.22,0.16,0.34,0.08,0.12,108508.88,720.00
24.00,0.09,0.00,0.01,0.25,0.20,0.40,0.06,0.08,71498.68,387.00
30.00,0.16,0.03,0.03,0.20,0.31,0.23,0.05,0.08,201117.85,286.00
36.01,0.04,0.00,0.01,0.54,0.08,0.27,0.05,0.11,116819.35,229.00
38.00,0.02,0.00,0.01,0.34,0.17,0.40,0.06,0.12,57170.73,438.00
39.00,0.02,0.00,0.01,0.25,0.24,0.36,0.12,0.11,36596.94,1376.00
40.00,0.08,0.00,0.03,0.18,0.29,0.33,0.10,0.07,72041.91,393.00
42.00,0.14,0.08,0.06,0.07,0.52,0.12,0.02,0.22,427395.30,163.00
43.01,0.15,0.02,0.26,0.00,0.53,0.04,0.00,0.07,10772421.81,9.00
51.00,0.02,0.00,0.02,0.37,0.15,0.35,0.09,0.09,48123.76,565.00
52.00,0.02,0.00,0.02,0.23,0.34,0.31,0.08,0.13,32950.53,714.00
53.00,0.05,0.01,0.03,0.25,0.31,0.27,0.09,0.10,77793.98,400.00
54.00,0.03,0.00,0.01,0.28,0.18,0.36,0.14,0.16,44126.69,869.00
58.00,0.01,0.00,0.02,0.35,0.13,0.39,0.10,0.12,46062.41,797.00
59.00,0.02,0.00,0.01,0.33,0.16,0.38,0.10,0.14,47416.39,555.00
