Census Tract,"Management, business, science, and arts occupations",Service occupations,Sales and office occupations,"Natural resources, construction, and maintenance occupations","Production, transportation, and material moving occupations","Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,Civilian employed population 16 years and over,Private wage and salary workers,Government workers,Self-employed in own not incorporated business workers,Unpaid family workers
1.00,0.71,0.08,0.16,0.01,0.04,0.00,0.00,0.06,0.02,0.01,0.02,0.02,0.14,0.13,0.51,0.05,0.05,0.00,274.00,0.64,0.31,0.06,0.00
2.00,0.19,0.26,0.31,0.04,0.19,0.00,0.01,0.04,0.02,0.16,0.11,0.04,0.01,0.14,0.20,0.07,0.16,0.03,1373.00,0.85,0.14,0.01,0.00
3.00,0.29,0.29,0.23,0.07,0.13,0.00,0.09,0.12,0.05,0.12,0.01,0.01,0.02,0.03,0.29,0.17,0.05,0.04,827.00,0.80,0.15,0.05,0.00
4.00,0.38,0.18,0.28,0.06,0.10,0.00,0.04,0.05,0.04,0.15,0.03,0.02,0.06,0.12,0.32,0.07,0.05,0.04,1696.00,0.83,0.13,0.04,0.00
7.00,0.16,0.32,0.18,0.09,0.25,0.00,0.03,0.15,0.02,0.18,0.02,0.01,0.02,0.11,0.25,0.12,0.08,0.01,705.00,0.90,0.05,0.05,0.00
8.00,0.21,0.26,0.31,0.08,0.14,0.00,0.01,0.12,0.00,0.17,0.05,0.01,0.05,0.02,0.30,0.19,0.06,0.02,1169.00,0.83,0.12,0.05,0.00
9.00,0.46,0.20,0.24,0.06,0.03,0.01,0.04,0.06,0.01,0.13,0.02,0.04,0.03,0.09,0.33,0.08,0.06,0.10,1762.00,0.72,0.23,0.05,0.00
10.00,0.29,0.25,0.20,0.08,0.17,0.00,0.06,0.11,0.10,0.10,0.04,0.04,0.08,0.09,0.22,0.04,0.10,0.04,1837.00,0.87,0.10,0.03,0.00
16.00,0.32,0.15,0.37,0.09,0.08,0.00,0.01,0.11,0.01,0.15,0.09,0.02,0.03,0.09,0.39,0.02,0.05,0.04,1031.00,0.86,0.13,0.01,0.00
17.02,0.34,0.16,0.30,0.04,0.16,0.00,0.02,0.08,0.05,0.11,0.09,0.08,0.03,0.12,0.24,0.11,0.06,0.01,1429.00,0.87,0.11,0.02,0.00
18.00,0.31,0.22,0.27,0.10,0.11,0.00,0.05,0.07,0.03,0.15,0.01,0.00,0.07,0.12,0.30,0.15,0.05,0.00,1516.00,0.83,0.09,0.08,0.00
19.00,0.38,0.26,0.19,0.07,0.10,0.00,0.05,0.10,0.03,0.07,0.01,0.02,0.08,0.11,0.32,0.13,0.05,0.03,1667.00,0.77,0.18,0.05,0.00
20.00,0.20,0.24,0.31,0.08,0.18,0.00,0.04,0.06,0.02,0.12,0.09,0.08,0.05,0.09,0.24,0.14,0.06,0.03,944.00,0.84,0.13,0.03,0.00
23.00,0.33,0.29,0.10,0.13,0.16,0.02,0.06,0.10,0.00,0.07,0.01,0.02,0.10,0.09,0.26,0.17,0.05,0.05,610.00,0.86,0.12,0.02,0.00
27.00,0.35,0.18,0.28,0.12,0.07,0.00,0.07,0.06,0.01,0.12,0.06,0.04,0.10,0.13,0.26,0.08,0.03,0.05,1022.00,0.80,0.18,0.02,0.00
29.01,0.36,0.17,0.32,0.11,0.04,0.01,0.10,0.04,0.03,0.17,0.00,0.03,0.07,0.11,0.30,0.06,0.04,0.05,1706.00,0.79,0.16,0.06,0.00
36.02,0.33,0.25,0.21,0.10,0.11,0.00,0.05,0.05,0.02,0.04,0.06,0.04,0.08,0.06,0.37,0.12,0.05,0.04,1073.00,0.87,0.10,0.03,0.00
45.00,0.62,0.13,0.19,0.03,0.04,0.00,0.04,0.04,0.00,0.07,0.03,0.01,0.06,0.09,0.45,0.15,0.02,0.02,2266.00,0.82,0.12,0.06,0.00
46.00,0.59,0.19,0.14,0.05,0.03,0.00,0.02,0.04,0.03,0.02,0.03,0.02,0.03,0.15,0.48,0.06,0.10,0.03,2443.00,0.78,0.13,0.08,0.00
