ID,OBJECTID,SPAD_ID,STREETID,TAX_ID,PRINTKEY,LONGNAME,FIPMCD,FIPPLC,ST_NUMBER,ST_NAME,LU_CODE,Assets_within_Comm_Co_CODEA,Assets_within_Comm_Co_CODEB,Assets_within_Comm_Co_CombinedCode,CombinedCodeNumber,PRE,NAME,TYPE,SUFFIX,MCDNAME,ZIPCODE,NEWADD,LASTEDIT,GRP_NAME,SUITE,APT_ID,UNITS,NOTES,alias1,alias2,alias3,CNTY,AG1,AG2,AG3,FCODE,MUN,LOC_FLD2,Lon,Lat,Corridor,CODEAB_CODEA,CODEAB_CODEB,ENTITY,CODEAB_CombinedCode,Entity2,Entity_Category,GeneralCategories
12,440,132,12577922,3.115E+25,103.-03-01.0,SNOWDON APTS,73000,73000,400,JAMES ST,411,418,6,41806,41806,,JAMES,ST,,SYRACUSE CITY,13203,,,,,,199,,,,,67,,,,GIS,SYR,,-76.1478,43.0525,James,418,6,ROOMING HOUSE/ SRO,41806,Rooming House/ Sro,Nontraditional Housing,Residential
614,10593,10564,12577922,3.115E+25,017.-21-06.0,477 BLDG,73000,73000,477,JAMES ST,411,418,6,41806,41806,,JAMES,ST,,SYRACUSE CITY,13203,,,,,,38,,,,,67,,,,GIS,SYR,,-76.1465,43.0535,James,418,6,ROOMING HOUSE/ SRO,41806,Rooming House/ Sro,Nontraditional Housing,Residential
615,10594,10563,12577922,3.115E+25,017.-21-07.0,LAWRENCE APTS,73000,73000,469,JAMES ST,411,418,6,41806,41806,,JAMES,ST,,SYRACUSE CITY,13203,7/4/2004,7/4/2004,,,,34,,,,,67,,,,GIS,SYR,,-76.1467,43.0534,James,418,6,ROOMING HOUSE/ SRO,41806,Rooming House/ Sro,Nontraditional Housing,Residential
619,10598,10557,12575176,3.115E+25,007.-33-23.0,MESA COMMONS,73000,73000,2000,LODI ST,411,418,6,41806,41806,,LODI,ST,,SYRACUSE CITY,13208,7/4/2004,7/4/2004,,,,8,,,,,67,,,,GIS,SYR,,-76.1535,43.0637,Lodi State,418,6,ROOMING HOUSE/ SRO,41806,Rooming House/ Sro,Nontraditional Housing,Residential
684,10772,10725,12577378,3.115E+25,095.-09-07.2,SALVATION ARMY SHELTER,73000,73000,667,S SALINA ST,411,418,5,41805,41805,S,SALINA,ST,,SYRACUSE CITY,13202,7/17/2004,6/11/2015,,,,28,,SALVATION ARMY TRANSITIONAL APTS,,,67,,,,GIS,SYR,,-76.1505,43.0413,DT South Salina,418,5,HOMELESS SHELTER,41805,Homeless Shelter,Nontraditional Housing,Residential
941,13529,13459,12578090,3.115E+25,018.-10-05.0,ALODI RESIDENCE,73000,73000,713,LODI ST,411,418,6,41806,41806,,LODI,ST,,SYRACUSE CITY,13203,9/25/2009,,,,,30,Rooming house,,,,67,,,,GIS,SYR,,-76.1394,43.0555,Lodi,418,6,ROOMING HOUSE/ SRO,41806,Rooming House/ Sro,Nontraditional Housing,Residential
1073,99281,1503444,12578180,3.115E+25,037.-22-43.0,,73000,73000,421,WESTCOTT ST,418,418,6,41806,41806,,WESTCOTT,ST,,SYRACUSE CITY,13210,9/30/2008,,,,,5,,,,,67,,,,GIS,SYR,,-76.1199,43.0434,Westcott,418,6,ROOMING HOUSE/ SRO,41806,Rooming House/ Sro,Nontraditional Housing,Residential
1074,99282,1503445,12578180,3.115E+25,037.-22-44.0,,73000,73000,417,WESTCOTT ST,418,418,6,41806,41806,,WESTCOTT,ST,,SYRACUSE CITY,13210,9/30/2008,,,,,4,,,,,67,,,,GIS,SYR,,-76.1193,43.0435,Westcott,418,6,ROOMING HOUSE/ SRO,41806,Rooming House/ Sro,Nontraditional Housing,Residential
1076,99284,1503447,12578180,3.115E+25,037.-22-47.1,,73000,73000,405,WESTCOTT ST,418,418,6,41806,41806,,WESTCOTT,ST,,SYRACUSE CITY,13210,9/30/2008,,,,,7,,,,,67,,,,GIS,SYR,,-76.1193,43.0438,Westcott,418,6,ROOMING HOUSE/ SRO,41806,Rooming House/ Sro,Nontraditional Housing,Residential
1100,100575,1504570,12578502,3.115E+25,046.-09-07.0,,73000,73000,728,WESTCOTT ST,418,418,6,41806,41806,,WESTCOTT,ST,,SYRACUSE CITY,13210,10/10/2008,,,,,4,,,,,67,,,,GIS,SYR,,-76.1193,43.0377,Westcott,418,6,ROOMING HOUSE/ SRO,41806,Rooming House/ Sro,Nontraditional Housing,Residential
1139,100945,1504911,12578483,3.115E+25,045.-15-25.0,,73000,73000,911,EUCLID AVE,418,418,6,41806,41806,,EUCLID,AVE,,SYRACUSE CITY,13210,10/15/2008,,,,,4,,,,,67,,,,GIS,SYR,,-76.1185,43.037,Westcott,418,6,ROOMING HOUSE/ SRO,41806,Rooming House/ Sro,Nontraditional Housing,Residential
63,4694,18204,12579028,3.115E+25,033.-05-09.0,JOE REDDICKS,73000,73000,2960,ERIE BLVD E,421,425,0,42500,42500,,ERIE,BLVD,E,SYRACUSE CITY,13224,4/28/2002,3/21/2013,,BAR,,0,,JOE REDDICKS SPORTS BAR AND CLUB,,,67,,,,GIS,SYR,,-76.0878,43.0548,Erie Blvd E,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
76,5848,6061,12581070,3.115E+25,024.-01-14.0,CHADWICKS,73000,73000,2529,JAMES ST,482,425,0,42500,42500,,JAMES,ST,,SYRACUSE CITY,13206,4/17/2002,4/17/2002,,,,0,,,,,67,,,,GIS,SYR,,-76.1111,43.0687,Eastwood James,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
79,5851,6065,12581074,3.115E+25,024.-16-02.0,BEARS DEN,73000,73000,2710,JAMES ST,485,425,0,42500,42500,,JAMES,ST,,SYRACUSE CITY,13206,4/17/2002,11/2/2012,,,,0,Former Bear's Den,,,,67,,,,GIS,SYR,,-76.1084,43.0687,Eastwood James,425,0,BAR,42500,Bar,Alcohol Commercial,Commercial and Public Spaces
