Corridor,Category,Count
Burnet,Commercial and Public Spaces,44
Burnet,Mixed Use,52
Burnet,Residential,107
Burnet,Vacant,17
Butternut,Commercial and Public Spaces,32
Butternut,Mixed Use,41
Butternut,Residential,92
Butternut,Vacant,7
DT South Salina,Commercial and Public Spaces,19
DT South Salina,Mixed Use,4
DT South Salina,Residential,1
DT South Salina,Vacant,6
Eastwood James,Commercial and Public Spaces,42
Eastwood James,Mixed Use,45
Eastwood James,Residential,18
Eastwood James,Vacant,9
Erie Blvd E,Commercial and Public Spaces,92
Erie Blvd E,Mixed Use,23
Erie Blvd E,Vacant,11
Geddes Marcellus,Commercial and Public Spaces,60
Geddes Marcellus,Mixed Use,36
Geddes Marcellus,Residential,139
Geddes Marcellus,Vacant,23
Grant Butternut Cir,Commercial and Public Spaces,12
Grant Butternut Cir,Mixed Use,18
Grant Butternut Cir,Residential,48
Grant Butternut Cir,Vacant,6
James,Commercial and Public Spaces,39
James,Mixed Use,11
James,Residential,15
James,Vacant,5
Lodi,Commercial and Public Spaces,10
Lodi,Mixed Use,6
Lodi,Residential,56
Lodi,Vacant,6
Lodi State,Commercial and Public Spaces,34
Lodi State,Mixed Use,29
Lodi State,Residential,219
Lodi State,Vacant,17
North Salina,Commercial and Public Spaces,85
North Salina,Mixed Use,140
North Salina,Residential,38
North Salina,Vacant,47
Onondaga,Commercial and Public Spaces,26
Onondaga,Mixed Use,9
Onondaga,Residential,6
Onondaga,Vacant,9
South Ave,Commercial and Public Spaces,34
South Ave,Mixed Use,23
South Ave,Residential,161
South Ave,Vacant,18
Southside Salina,Commercial and Public Spaces,88
Southside Salina,Mixed Use,29
Southside Salina,Residential,189
Southside Salina,Vacant,37
West Genesee,Commercial and Public Spaces,61
West Genesee,Mixed Use,44
West Genesee,Residential,56
West Genesee,Vacant,14
Westcott,Commercial and Public Spaces,32
Westcott,Mixed Use,9
Westcott,Residential,99
Westcott,Vacant,1
Wolf,Commercial and Public Spaces,27
Wolf,Mixed Use,18
Wolf,Residential,78
Wolf,Vacant,20
