Corridor,Commercial and Public Spaces,Mixed Use,Residential,Vacant,Grand Total
Burnet,44,52,107,17,220
Butternut,32,41,92,7,172
DT South Salina,19,4,1,6,30
Eastwood James,42,45,18,9,114
Erie Blvd E,92,23,,11,126
Geddes Marcellus,60,36,139,23,258
Grant Butternut Cir,12,18,48,6,84
James,39,11,15,5,70
Lodi,10,6,56,6,78
Lodi State,34,29,219,17,299
North Salina,85,140,38,47,310
Onondaga,26,9,6,9,50
South Ave,34,23,161,18,236
Southside Salina,88,29,189,37,343
West Genesee,61,44,56,14,175
Westcott,32,9,99,1,141
Wolf,27,18,78,20,143
Grand Total,737,537,1322,253,2849
