Census Tract,Academic,Activities,Administration,Adult Care Facilities,Adult Day Care,Adult Enriched Housing,Adult Entertainment (X-Rated),Air Pollution / Air Quality Station,American Legion,"Animal Shelter, Vet",Apartments,Apts In Multi Use Bldg,Athletic Fields,Auditorium,Authority Garage,Auto Dealership,Auto Parts,Auto Related Services,Auto Rental,Auto Towing,Bagel/Donut Shop,Bakery,Bank,Bar,Bar (X-Rated),Bed & Breakfast,Benevolent Org,Body Shop,Bowling Alley,Bus Transfer  Hub,Business School,Car Wash,Cell Facility On Bldg,Cell Facility On Other Antenna,Cell Facility On Water Tower,Cell Tower,Cemetery,Chapel,Chinese,Chiropractic,Church,Church Hall,City Garage,City Government,City Park (Community Park),City Park (Downtown Park),City Park (Medians),City Park (Natural Area),City Park (Neighborhood Park),City Park (Open Space),City Park (Playground),Cnyrta Garage,Coffee,Cold Storage,College,Community Center,Community Police Center,Community Residence,Condo,Convenience Store,Convent,Converted House,Corrections,Country Club,County Garage,County Govt,County Neighborhood Office,County Park,Credit Union,Day Care,Deli,Dentist Office,Diner,Dining Hall,District Office,Doctor Office In House,Dorm,Drug Store,Dry Cleaner,Education (Non-Instructional),Educational Facility,El,Electric Facilty,"Electric, Gas Facility",Elks,Ems,Ems Staging Area,Ethnic Foods,Faculty Residence,Fast Food,Federal Govt,Feed Sales Outlet,Field Station,"Fire Dept (Admin, Training Etc)",Fire House,Fish,Fitness,Floatable Facility,Flood Control,Frat/Sor House,"Fuel Storage, Distribution",Funeral Home,Furniture,Gas Station,Glass,Government,Health Facility,Heavy Equipment,High,Home Improvement,Homeless Shelter,Honeywell Lake Project,Hospital,Hospitality House (Non-Profit),Hotel,Ice Cream,Inactive Or Historic Cemetery,Indoor Parking Garage,Indoor Skating Rink,Indoor Sports,Infirmary,Jewelry,Junkyard,Large Retail Store,Laundromat,Law Office,Lawn And Snow Removal,Library,Library (Ocpl Member),Limousine Service,Liquor Store,Manufacturing,Masons,Mausoleum,"Meats, Fish",Miscellaneous Public Space,Moose,Mosque,Motel,Motorcycles,Movie Theatre,"Mufflers, Brakes",Multi Use Building,Museum,Natural Gas Facility,Neighborhood Shopping Center,Nursing Home,Nys Community Service,Off Campus Instructional,Office Bldg,Office Park,Office Supplies,Oil Change,Optometrist/Eye Care,Org / Management,Other Health Facility,Outdoor Parking Lot,Outdoor Sports,Painting,Park,Pharmacy,Physical Plant,Physical Therapy,Pizza,Police Station,Post Office,Private School Bus,Professional Bldg,Professional Bldg (Medical),Public Authority,Public Safety,Public Safety Administrative,Pump House,Pump Stations,Radio,Radio Broadcast Tower,Radio Station,Railroad Facility,Recruiting Office,Rectory,Regional Shopping Center,Religious Residence,Religious School,Repair,Reservoir,Rest Home (Non-Medical),Restaurant,Rooming House/ Sro,School,School Bus Garage,Self Storage,Senior,Senior And Mixed,Sfd Virtual Sta,Single Family House,Small Retail Store,Small Single-Use Bldg,"Small, Multi-Use Bldg",Social Organization,Social Store,Special School,Special Social,Spiritual Center,Sporting Goods (Including Guns),Stadium,State Govt,State Park,STJ HOSP,Storefront  Church,Student Housing,Sub Shop,Supermarkets,Swimming Pool,Synagogue,Take Out Food,Telephone Facility,Theatre,Three-Family House,Tires,Town/Vill/Park,Transmission,Treatment Plants,Truck Repair,Truck Stop,Truck Tires,Trucking Terminal,Trucks Only,Tv Station,Two-Family House,Used Car Only,Vacant Bldg,Vfw,Warehouse,Water Tank,Wholesale Club,Ymca,Youth Home,Zoo,Bus Shelter,Grand Total,Population_16Plus,MOE_Population_16Plus,Population_LaborForce,MOE_Population_LaborForce,Population_Employed,MOE_Population_Employed,UnemploymentRate,MOE_UnemploymentRate,Households_Total,MedianIncome_dollars,MOE_MedianIncome_dollars,MeanIncome_dollars,MOE_MeanIncome_dollars
1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,2,0,0,1,1,0,0,3,0,1,0,1,0,0,2,0,0,52,0,0,0,0,0,1,0,0,0,0,0,1,2,10,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,4,0,0,2,0,0,0,0,0,1,0,0,1,2,0,0,0,30,1,21,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,6,0,1,1,1,0,0,35,2,30,0,36,0,0,0,0,0,1,312,544,92,57.4%,9.7%,50.4%,9.3%,12.2%,8.2%,380," $49,605.00 "," $16,898.00 "," $76,788.00 "," $15,164.00 "
2,0,0,0,0,0,0,0,0,0,0,64,16,0,0,0,0,0,0,1,0,0,0,0,3,3,1,1,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,1,0,0,531,5,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,2,0,413,7,32,0,13,0,0,0,0,0,0,1167,2224,276,65.6%,6.9%,61.7%,7.1%,5.8%,4.1%,1311," $34,883.00 "," $2,715.00 "," $43,242.00 "," $5,336.00 "
3,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,474,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,105,0,3,0,0,0,0,0,0,0,0,644,1331,123,67.2%,6.2%,62.1%,6.1%,7.1%,2.7%,664," $50,244.00 "," $9,293.00 "," $57,044.00 "," $5,439.00 "
4,0,0,0,0,1,0,0,0,0,1,10,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1124,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,299,1,6,0,0,0,0,0,0,0,0,1491,2942,252,63.7%,5.5%,57.6%,5.3%,7.9%,4.0%,1517," $40,387.00 "," $6,668.00 "," $53,851.00 "," $7,269.00 "
5.01,0,0,0,0,0,0,0,0,0,0,80,89,0,0,0,0,1,0,0,3,0,3,0,5,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,1,0,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,3,1,1,0,0,1,0,0,162,9,68,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,2,0,0,0,0,0,0,0,0,179,3,64,0,13,0,0,0,0,0,0,800,1471,231,56.6%,7.6%,46.7%,7.3%,17.4%,7.1%,858," $22,615.00 "," $5,135.00 "," $27,214.00 "," $4,437.00 "
6,0,0,0,0,0,0,0,0,0,0,67,16,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,405,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,240,0,6,0,1,0,0,0,0,0,1,796,2830,271,55.1%,7.8%,40.2%,8.1%,27.1%,8.9%,1437," $25,875.00 "," $2,940.00 "," $30,654.00 "," $4,690.00 "
7,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,276,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,166,0,1,0,0,0,0,0,0,0,4,490,1288,180,67.5%,6.7%,54.7%,8.1%,19.0%,10.0%,613," $36,648.00 "," $7,979.00 "," $47,742.00 "," $8,733.00 "
8,0,0,0,0,0,0,0,0,0,0,28,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,323,0,4,0,0,0,0,0,0,0,0,903,1818,219,70.1%,5.6%,64.3%,5.9%,8.3%,4.8%,960," $32,568.00 "," $7,743.00 "," $43,100.00 "," $7,514.00 "
9,0,0,0,0,0,0,0,0,0,1,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,938,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,1244,2660,225,69.5%,4.5%,66.2%,4.4%,4.8%,2.3%,1362," $71,375.00 "," $11,018.00 "," $89,406.00 "," $9,646.00 "
10,0,0,0,0,0,0,0,0,0,0,346,9,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,735,6,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0,0,0,0,0,0,198,1,10,0,4,0,0,0,0,0,0,1397,3109,273,64.9%,5.6%,59.1%,6.9%,9.0%,5.0%,2022," $31,871.00 "," $4,330.00 "," $45,118.00 "," $8,167.00 "
