Corridor,AllAssets,AllOccupiedAssets,RatioLength,RatioParcel,ParcelCount,LengthFT,150ftBuf_Width_ft,150ftBuf_Length_ft,SqFt
Burnet,220,203,0.023501596,0.483333333,420,8637.711314,300,8937.711314,2591313.394
Butternut,172,165,0.035360657,0.479651163,344,4666.202851,300,4966.202851,1399860.855
DT South Salina,30,24,0.007350308,0.167832168,143,3265.169412,300,3565.169412,979550.8236
Eastwood James,114,105,0.036718965,0.63253012,166,2859.557726,300,3159.557726,857867.3178
Erie Blvd E,126,115,0.006354957,0.395189003,291,18096.10893,300,18396.10893,5428832.678
Geddes Marcellus,258,235,0.021420663,0.413005272,569,10970.71527,300,11270.71527,3291214.58
Grant Butternut Cir,84,78,0.04634536,0.433333333,180,1683.016382,300,1983.016382,504904.9146
James,70,65,0.011336301,0.537190083,121,5733.792676,300,6033.792676,1720137.803
Lodi,78,72,0.027627349,0.473684211,152,2606.113256,300,2906.113256,781833.9768
Lodi State,299,282,0.027946374,0.334519573,843,10090.75443,300,10390.75443,3027226.329
North Salina,310,263,0.036207121,0.560767591,469,7263.764594,300,7563.764594,2179129.378
Onondaga,50,41,0.012916797,0.344537815,119,3174.161425,300,3474.161425,952248.4275
South Ave,236,218,0.025308949,0.415238095,525,8613.553877,300,8913.553877,2584066.163
Southside Salina,343,306,0.025113859,0.425591099,719,12184.50724,300,12484.50724,3655352.171
West Genesee,175,161,0.016297855,0.462643678,348,9878.600752,300,10178.60075,2963580.226
Westcott,141,140,0.043960326,0.633484163,221,3184.689744,300,3484.689744,955406.9232
Wolf,143,123,0.031226171,0.471264368,261,3939.003622,300,4239.003622,1181701.087
