Row Labels,Affordable Housing,Alcohol Commercial,Auto Commercial,Banks and Lending,Care Commercial,Community Safety,Convenience Commercial,Education,Entertainment,Food Commercial,Gasoline Commercial,Health and Wellness,Hotel and Motel,Industrial,Infrastructure,Legal,Manufacturing,Mixed Use,Office Space,Public Space and Services,Religious,Residential,Retail Commercial,Shopping Center,Storage Commercial,Vacant Building,Grand Total,Population_16Plus,MOE_Population_16Plus,Population_LaborForce,MOE_Population_LaborForce,Population_Employed,MOE_Population_Employed,UnemploymentRate,MOE_UnemploymentRate,Households_Total,MedianIncome_dollars,MOE_MedianIncome_dollars,MeanIncome_dollars,MOE_MeanIncome_dollars
1.00,0.00,3.00,70.00,2.00,0.00,0.00,0.00,0.00,3.00,4.00,3.00,1.00,3.00,0.00,19.00,0.00,10.00,22.00,10.00,12.00,0.00,74.00,3.00,2.00,41.00,30.00,312.00,544.00,92.00,0.57,0.10,0.50,0.09,0.12,0.08,380.00,49605.00,16898.00,76788.00,15164.00
2.00,3.00,7.00,16.00,0.00,0.00,2.00,4.00,0.00,1.00,4.00,1.00,2.00,1.00,0.00,2.00,0.00,3.00,28.00,0.00,3.00,1.00,1038.00,5.00,0.00,14.00,32.00,1167.00,2224.00,276.00,0.66,0.07,0.62,0.07,0.06,0.04,1311.00,34883.00,2715.00,43242.00,5336.00
3.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,634.00,0.00,0.00,0.00,3.00,644.00,1331.00,123.00,0.67,0.06,0.62,0.06,0.07,0.03,664.00,50244.00,9293.00,57044.00,5439.00
4.00,0.00,1.00,2.00,0.00,2.00,0.00,2.00,2.00,1.00,1.00,0.00,2.00,0.00,0.00,1.00,0.00,0.00,20.00,0.00,4.00,1.00,1445.00,1.00,0.00,0.00,6.00,1491.00,2942.00,252.00,0.64,0.06,0.58,0.05,0.08,0.04,1517.00,40387.00,6668.00,53851.00,7269.00
5.01,1.00,7.00,14.00,1.00,0.00,2.00,10.00,1.00,1.00,16.00,2.00,6.00,0.00,0.00,2.00,0.00,1.00,159.00,2.00,5.00,9.00,474.00,10.00,0.00,13.00,64.00,800.00,1471.00,231.00,0.57,0.08,0.47,0.07,0.17,0.07,858.00,22615.00,5135.00,27214.00,4437.00
6.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,1.00,0.00,2.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,22.00,0.00,1.00,7.00,748.00,0.00,0.00,1.00,6.00,796.00,2830.00,271.00,0.55,0.08,0.40,0.08,0.27,0.09,1437.00,25875.00,2940.00,30654.00,4690.00
7.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,6.00,0.00,476.00,0.00,0.00,0.00,1.00,490.00,1288.00,180.00,0.68,0.07,0.55,0.08,0.19,0.10,613.00,36648.00,7979.00,47742.00,8733.00
8.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,5.00,1.00,863.00,2.00,0.00,0.00,4.00,903.00,1818.00,219.00,0.70,0.06,0.64,0.06,0.08,0.05,960.00,32568.00,7743.00,43100.00,7514.00
9.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,2.00,1.00,1232.00,0.00,0.00,0.00,0.00,1244.00,2660.00,225.00,0.70,0.05,0.66,0.04,0.05,0.02,1362.00,71375.00,11018.00,89406.00,9646.00
10.00,0.00,3.00,1.00,4.00,0.00,0.00,1.00,1.00,1.00,12.00,1.00,2.00,0.00,0.00,2.00,2.00,0.00,32.00,4.00,5.00,4.00,1299.00,8.00,1.00,4.00,10.00,1397.00,3109.00,273.00,0.65,0.06,0.59,0.07,0.09,0.05,2022.00,31871.00,4330.00,45118.00,8167.00
