Row Labels,Affordable Housing,Alcohol Commercial,Auto Commercial,Banks and Lending,Care Commercial,Community Safety,Convenience Commercial,Education,Entertainment,Food Commercial,Gasoline Commercial,Health and Wellness,Hotel and Motel,Industrial,Infrastructure,Legal,Manufacturing,Mixed Use,Office Space,Public Space and Services,Religious,Residential,Retail Commercial,Shopping Center,Storage Commercial,Vacant Building,Grand Total,Population_16Plus,MOE_Population_16Plus,Population_LaborForce,MOE_Population_LaborForce,Population_Employed,MOE_Population_Employed,UnemploymentRate,MOE_UnemploymentRate,Households_Total,MedianIncome_dollars,MOE_MedianIncome_dollars,MeanIncome_dollars,MOE_MeanIncome_dollars
1.00,0,0.01,0.22,0.01,0,0,0,0,0.01,0.01,0.01,0,0.01,0,0.06,0,0.03,0.07,0.03,0.04,0,0.24,0.01,0.01,0.13,0.1,1,544,92,0.57,0.1,0.5,0.09,0.12,0.08,380,49605,16898,76788,15164
2.00,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.89,0,0,0.01,0.03,1,2224,276,0.66,0.07,0.62,0.07,0.06,0.04,1311,34883,2715,43242,5336
3.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,1,1331,123,0.67,0.06,0.62,0.06,0.07,0.03,664,50244,9293,57044,5439
4.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.97,0,0,0,0,1,2942,252,0.64,0.06,0.58,0.05,0.08,0.04,1517,40387,6668,53851,7269
5.01,0,0.01,0.02,0,0,0,0.01,0,0,0.02,0,0.01,0,0,0,0,0,0.2,0,0.01,0.01,0.59,0.01,0,0.02,0.08,1,1471,231,0.57,0.08,0.47,0.07,0.17,0.07,858,22615,5135,27214,4437
6.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0.01,0.94,0,0,0,0.01,1,2830,271,0.55,0.08,0.4,0.08,0.27,0.09,1437,25875,2940,30654,4690
7.00,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.97,0,0,0,0,1,1288,180,0.68,0.07,0.55,0.08,0.19,0.1,613,36648,7979,47742,8733
8.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0,0.96,0,0,0,0,1,1818,219,0.7,0.06,0.64,0.06,0.08,0.05,960,32568,7743,43100,7514
9.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,1,2660,225,0.7,0.05,0.66,0.04,0.05,0.02,1362,71375,11018,89406,9646
10.00,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0.93,0.01,0,0,0.01,1,3109,273,0.65,0.06,0.59,0.07,0.09,0.05,2022,31871,4330,45118,8167
