TAX_ID,Lat,Lon,NonResAssets_CombinedCode,CODEAB_CombinedCode,Entity2,Entity_Category,ENTITY,Status
31150008500000010050000000,43.03378352,-76.15527208,41805,41805,Homeless Shelter,Nontraditional Housing,HOMELESS SHELTER,Occupied
31150010100000210030000000,43.04410722,-76.15461227,41805,41805,Homeless Shelter,Nontraditional Housing,HOMELESS SHELTER,Occupied
31150009400000040050000000,43.03688182,-76.15146304,41805,41805,Homeless Shelter,Nontraditional Housing,HOMELESS SHELTER,No Information
31150009500000090070020000,43.04134386,-76.15046315,41805,41805,Homeless Shelter,Nontraditional Housing,HOMELESS SHELTER,Occupied
31150009700000050200000000,43.04116633,-76.16483249,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Vacant
31150009700000050200000000,43.04116633,-76.16483249,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Vacant
31150009300000140250000000,43.03460476,-76.16443062,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150010000000080130010000,43.04653768,-76.16031194,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150009300000030130000000,43.03866204,-76.15944656,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150009300000030150000000,43.03843609,-76.15921949,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150009300000050350000000,43.03866825,-76.15868132,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150000300000230170000000,43.07298923,-76.15741419,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150000300000050100000000,43.08081125,-76.15719592,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150000700000070110000000,43.07059478,-76.15686762,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150009600000020110000000,43.04275034,-76.15651373,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150000700000330230000000,43.06369736,-76.15353025,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,No Information
31150010100000050010010000,43.04859826,-76.15340355,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150008400000010280000000,43.02856248,-76.15230852,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150008500000130220000000,43.03153313,-76.15020599,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150008500000120190000000,43.03131775,-76.14943844,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150010300000030010000000,43.05249028,-76.14783604,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150001700000210020000000,43.0540747,-76.1469875,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150001700000210070000000,43.05342451,-76.14674466,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150001700000210060000000,43.05351418,-76.14654257,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150001700000200100000000,43.05435827,-76.14627284,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150008400000180030000000,43.02709109,-76.14512635,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150001800000100050000000,43.05546844,-76.13938144,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150001600000180120000000,43.06048492,-76.13611422,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004800000110120000000,43.04572889,-76.13410323,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004800000210160000000,43.04497127,-76.13186828,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004800000210110000000,43.04432491,-76.13140151,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004700000180140000000,43.04580668,-76.13038459,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004700000190160000000,43.04502595,-76.13027147,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004700000190130000000,43.04464413,-76.13020998,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004700000200170000000,43.04369842,-76.13017862,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004700000180010000000,43.04607874,-76.1297961,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004700000180100000000,43.04547094,-76.12968757,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004700000190020000000,43.04511322,-76.12957525,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004700000180070000000,43.04547538,-76.12923122,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,No Information
31150004700000200100000000,43.04283122,-76.12916211,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000130340000000,43.03328372,-76.12907285,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004700000200090000000,43.04284325,-76.1289516,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000130240010000,43.03112636,-76.12885889,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000130010000000,43.03384987,-76.12877063,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000170090000000,43.03810598,-76.12862829,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000010070000000,43.03569469,-76.12837241,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000010150000000,43.03462121,-76.12829306,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000010160000000,43.0345388,-76.12826873,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000160200000000,43.03869111,-76.12814305,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000160180000000,43.03842718,-76.12813766,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000160190000000,43.03856986,-76.12812559,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000160170000000,43.03828977,-76.12811848,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000160160000000,43.03816856,-76.12811203,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000150190000000,43.03741322,-76.12802855,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000150200000000,43.03755801,-76.12802748,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000150170000000,43.03715784,-76.12800446,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000150160000000,43.03702311,-76.12797949,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000020010000000,43.03611208,-76.1279184,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000020300000000,43.03539543,-76.12786759,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000020280000000,43.03500816,-76.12784759,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000020270000000,43.03491961,-76.12781292,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000020250000000,43.03470006,-76.12780416,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000020320000000,43.03566498,-76.12780118,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000020260000000,43.03481123,-76.12777632,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000020290000000,43.03529592,-76.12776027,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000150010000000,43.03785474,-76.12758896,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000160140000000,43.03817394,-76.12743467,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150005200000020020000000,43.03620884,-76.12733376,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000160130000000,43.03818678,-76.12727672,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000150020000000,43.03785339,-76.12725134,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000150030000000,43.03772505,-76.12723498,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
31150004600000150050000000,43.03745062,-76.12721277,41806,41806,Rooming House/ Sro,Nontraditional Housing,ROOMING HOUSE/ SRO,Occupied
