Row Labels,Average of lat,Average of lon,Sum of Valuation,Sum of Fee Amount,Size
100 Alden St & Vincent St,-76.13411115,43.02068274,0,0,0
100 Berkeley Dr & Stratford S,-76.12874498,43.03379335,0,0,0
100 Edgemont Dr & Kimber Rd,-76.09353291,43.03912868,0,25,0
100 Elsner St,-76.13829255,43.06808057,0,25,0
100 Grand Ave To Amy St,-76.17323201,43.0409094,0,73,0
100 Sunstruck Dr & Robinson S,-76.12097841,43.05854736,0,0,0
100 Woodlawn Terr,-76.13104164,43.07018881,0,0,0
1000 Westmoreland Ave & Montan,-76.1144902,43.03461775,0,25,0
1006 Butternut St,-76.14341814,43.06433918,0,25,0
1008 Westmoreland Ave,-76.11448262,43.03450841,0,25,0
101 Bradford Pkwy & Genesee S,-76.10677947,43.04245092,0,25,0
101 Ostrander Ave E & Salina,-76.14128413,43.0143071,0,25,0
101 Wilkinson St & Tracy St &,-76.16179303,43.05053197,0,0,0
101-03 Ashworth Pl & University,-76.13441121,43.04784885,0,0,0
101-03 Shotwell Pk,-76.11537551,43.0677381,0,0,0
102 Berkeley Dr,-76.12873108,43.03365639,0,0,0
102 Edgemont Dr,-76.09313677,43.03896379,0,25,0
102 Sedgwick Dr,-76.12908724,43.06280383,0,0,0
102 Wellesley Rd,-76.17002596,43.02189851,0,0,0
102-04 Driscoll Ave & Hayden Ave,-76.1967791,43.05338231,0,25,0
102-04 Warner Ct,-76.20007121,43.05813957,0,40,0
102-08 Beech St N & Canal St,-76.12771361,43.05129582,0,0,0
1024 Teall Ave,-76.12237585,43.06079947,0,0,0
1024-1124 Court St & Grant Blvd,-76.151777,43.074944,0,0,0
1024-26 Oak St,-76.13629541,43.06635674,0,25,0
1028 Oak St,-76.13630265,43.06646638,0,25,0
103 Arden Dr,-76.17378991,43.02113486,0,0,0
103 Bristol Pl,-76.12377614,43.04238524,0,25,0
103 Dorset Rd,-76.12727049,43.03342725,0,25,0
103 Parkview Ave & Onondaga A,-76.16295493,43.02639963,0,0,0
103 Phillips Rd,-76.09347594,43.04705013,0,0,0
1036 Midland Ave,-76.15315523,43.02841587,0,25,0
104 Edgemont Dr,-76.09291559,43.03895064,0,25,0
104 Euclid Terr To Strong Ave,-76.11804688,43.03738482,0,0,0
104 Lynch St,-76.12043257,43.05090845,0,0,0
104 Miles Ave,-76.11699214,43.03529043,0,25,0
104-18 Plum St & Tracy St To Wes,-76.16016813,43.05111107,0,161,0
105 Euclid Terr,-76.11860703,43.03728453,0,0,0
105 Green St Pl & Green St,-76.13664314,43.05568413,0,0,0
105 Hartson St,-76.17491719,43.03636681,0,25,0
105 Kensington Rd & Ackerman,-76.1239782,43.0321733,0,25,0
105 Maplehurst Ave & Huntley,-76.13749199,43.07797688,0,25,0
105 Michaels Ave,-76.14995875,43.07592317,0,25,0
105 Townsend Pl,-76.15010902,43.05909523,0,0,0
105-07 Shotwell Pk,-76.11536238,43.06760037,0,0,0
106 Carlisle St,-76.15272996,43.06840625,0,0,0
106 Clarendon St & Ostrom Ave,-76.12829476,43.03777623,0,0,0
106 Edgemont Dr,-76.09269334,43.03893187,0,50,0
106 Ethel Ave,-76.18684125,43.02841257,0,153,0
106 Euclid Terr To Strong Ave,-76.11816896,43.03752553,0,0,0
106 Juneway Rd & Hilltop Rd,-76.1949693,43.02690252,0,0,0
106 Sterling Ave,-76.15988879,43.03189661,0,0,0
106 Wendell Terr,-76.12979524,43.06555624,0,25,0
106-08 Shotwell Pk,-76.11647467,43.0674446,0,0,0
1061 Ackerman Ave & Broad St,-76.1238063,43.03029842,0,25,0
107 Bertram Pl,-76.15824163,43.01703813,0,0,0
107 Gertrude St,-76.13938292,43.05370411,0,25,0
108 Euclid Terr To Strong Ave,-76.11825165,43.03762923,0,0,0
108 Hancock Dr,-76.18034589,43.02595619,0,25,0
108 Hatherley Rd,-76.10389993,43.04031366,0,0,0
108 Jefferson St W #601,-76.15365085,43.04711803,0,25,0
108 Willis Ave,-76.18788793,43.04643791,0,0,0
109 Euclid Terr To Westcott S,-76.11902295,43.03741819,0,0,0
109 Ferris Ave,-76.10704815,43.04462753,0,25,0
109 Hatherley Rd,-76.10317581,43.04040348,0,0,0
109 Robert Dr,-76.13290137,43.02688335,0,0,0
109-11 Shotwell Pk,-76.11534995,43.06746348,0,0,0
110 Almond St & Washington St,-76.141651,43.050017,0,0,0
110 Orwood Pl To Darlington R,-76.13728627,43.07998792,0,25,0
110 Paul Ave,-76.11889457,43.06813262,0,0,0
1100 Salt Springs Rd,-76.09554386,43.04590911,0,0,0
1100-04 Lodi St & Douglas St,-76.14425408,43.05840243,0,222,0
1101 Grant Blvd & Woodlawn Ter,-76.13183652,43.07232286,0,25,0
110-12 Shotwell Pk,-76.1164615,43.06730911,0,0,0
1102 Midland Ave & Kirk Ave,-76.15299446,43.02802933,0,25,0
1102-04 Madison St,-76.13011296,43.04488775,0,0,0
111 Holden St,-76.18098717,43.03746716,0,0,0
111 Maplehurst Ave To Huntley,-76.13767836,43.07802816,0,25,0
111 Morey Ave To Pacific Ave,-76.1499337,43.00913247,0,40,0
111 Steuben St,-76.1532702,43.06539645,0,0,0
1111 Genesee St E,-76.13397696,43.04713143,0,0,0
111-15 Buckingham Ave,-76.12179239,43.03338575,0,50,0
1114 Wolf St,-76.1566958,43.08076534,0,100,0
1116 Avery Ave,-76.19822031,43.05737327,0,0,0
1116 Genesee St E To Walnut Av,-76.13310707,43.04628325,0,0,0
112 Jasper St,-76.14119947,43.06180544,0,25,0
112 Raynor Ave E & Montgomery,-76.14891114,43.0350596,0,0,0
112 Rugby Rd,-76.12157561,43.06736846,0,0,0
112 Sabine St,-76.166432,43.0398,0,25,0
112 Strand Pl,-76.14964439,43.06573543,0,0,0
112-16 Corning Ave W,-76.14340232,43.01886131,0,0,0
113 Benedict Ave,-76.13813515,43.024807,0,0,0
1131 Kirkpatrick St,-76.1490209,43.07609592,0,25,0
1134-36 Cannon St,-76.14581038,43.01477067,0,0,0
1135 South Ave & Onondaga Cree,-76.15725876,43.02570093,0,0,0
1137 Grant Blvd,-76.13312994,43.07219325,0,10,0
114 Rugby Rd,-76.12173835,43.06745266,0,0,0
114 Shirley Rd,-76.10484984,43.0361604,0,0,0
114-16 Paul Ave,-76.11915208,43.06826673,0,0,0
114-16 Windemere Rd,-76.13736475,42.99096991,0,0,0
1146 Belden Ave W,-76.1728592,43.05506682,0,0,0
115 Craig St,-76.14771179,43.06931787,0,25,0
115 Ferris Ave,-76.10704467,43.04424898,0,0,0
115 Fitch St,-76.16746381,43.03505391,0,0,0
115 Maplehurst Ave,-76.13778806,43.07810183,0,25,0
115 Phillips Rd,-76.09250292,43.04701243,0,54,0
115 Rugby Rd,-76.12267541,43.06719224,0,25,0
115-31 Shonnard St,-76.15994469,43.04121408,0,101,0
116 Arlington Ave,-76.16755486,43.02293791,0,64,0
116 Corning Ave E,-76.14167811,43.01863758,0,0,0
116 Euclid Terr,-76.11867242,43.03805009,0,0,0
116 Knaul St,-76.14247629,43.0662201,0,0,0
116 Shotwell Pk,-76.11645013,43.06717217,0,0,0
117 Doll Pkwy,-76.08791982,43.04593314,0,52,0
117 Euclid Terr To Westcott S,-76.11908574,43.03785228,0,0,0
117 Parkside Ave,-76.16180351,43.02501244,0,0,0
117 Ramsey Ave,-76.10782845,43.04026387,0,65,0
118 Cody Ave,-76.1890596,43.04606989,0,25,0
118 Harrington Rd,-76.10254368,43.03963953,0,0,0
118 Spring St,-76.14463514,43.06561989,0,25,0
118-20 Midler Ave N,-76.10536431,43.06947023,0,0,0
118-20 Shotwell Pk,-76.11643875,43.06703524,0,0,0
119-23 Merriman Ave & Oswego St,-76.16381752,43.04015287,0,25,0
120 Avery Ave,-76.19011379,43.04589246,0,0,0
120 Essex St,-76.19471556,43.056372,0,25,0
1200 Grant Blvd & Pleasantview,-76.13413709,43.07270257,0,25,0
1200 Salina St N & Danforth St,-76.15840738,43.06663227,0,0,0
1202-04 Lodi St,-76.1448359,43.05881079,0,50,0
1203 Salina St S & Raynor Ave,-76.14947528,43.03514798,0,0,0
1204 Glenwood Ave & Wolcott Av,-76.18202089,43.02613203,0,0,0
1207 Highland St,-76.14272033,43.06990799,0,0,0
