Row Labels,Sum of Valuation
1/9/2012,0
1/23/2012,7500
1/25/2012,0
2/7/2012,0
2/8/2012,0
2/23/2012,0
2/24/2012,11700000
3/6/2012,0
3/7/2012,0
3/9/2012,0
3/12/2012,0
3/13/2012,0
3/14/2012,15000
3/15/2012,52597
3/16/2012,804500
3/19/2012,1543500
3/20/2012,64576
3/21/2012,1725114
3/22/2012,72523
3/23/2012,113998
3/26/2012,91666
3/27/2012,575138
3/28/2012,38800
3/29/2012,2807
3/30/2012,1279937
4/2/2012,295959
4/3/2012,610771
4/4/2012,81300
4/5/2012,72314
4/6/2012,44370
4/9/2012,73750
4/10/2012,37821
4/11/2012,1043110
4/12/2012,833645
4/13/2012,45250
4/14/2012,0
4/16/2012,344549
4/17/2012,185393
4/18/2012,559285
4/19/2012,10626014
4/20/2012,822725
4/23/2012,335899
4/24/2012,155699
4/25/2012,21173
4/25/2012,328000
4/26/2012,1905132
4/27/2012,149905
4/30/2012,193254
5/1/2012,1120093
5/2/2012,291792
5/3/2012,1133450
5/4/2012,10134850
5/7/2012,2580800
5/8/2012,4693660
5/9/2012,551054
5/10/2012,2288451
5/11/2012,122400
5/14/2012,86392
5/15/2012,184250
5/16/2012,1172797
5/17/2012,902104
5/18/2012,1152826
5/19/2012,0
5/21/2012,843681
5/22/2012,645525
5/23/2012,459793
5/24/2012,873347
5/25/2012,306766
5/29/2012,1613700
5/30/2012,76150
5/31/2012,1176933
6/1/2012,994972
6/4/2012,7811990
6/5/2012,265308
6/6/2012,479986
6/7/2012,519422
6/8/2012,1386421
6/9/2012,0
6/11/2012,2361664
6/12/2012,639430
6/13/2012,3709540
6/14/2012,247749
6/15/2012,725926
6/18/2012,519933
6/19/2012,837056
6/20/2012,440854
6/21/2012,268741
6/22/2012,185900
6/25/2012,4240780
6/26/2012,7194816.75
6/26/2012,750
6/26/2012,1500
6/27/2012,92276
6/28/2012,304494
6/28/2012,30300
6/29/2012,70375
6/30/2012,0
7/2/2012,382861
7/3/2012,1357163
7/5/2012,1143573
7/6/2012,98664
7/9/2012,6587334
7/10/2012,163514
7/11/2012,145395
7/12/2012,415941
7/13/2012,5024836
7/16/2012,2534150
7/17/2012,9789433
7/18/2012,385550
7/19/2012,1102815
7/20/2012,250761
7/23/2012,353291
7/23/2012,700
7/24/2012,2337067
7/25/2012,2088416
7/26/2012,1965158
7/27/2012,493129
7/30/2012,921643
7/31/2012,384730
8/1/2012,232155
8/2/2012,1112458
8/3/2012,1421378
8/3/2012,45000
8/6/2012,585283
8/7/2012,2325541
8/8/2012,1863775
8/8/2012,21000
8/9/2012,536833
8/10/2012,1409194
8/11/2012,0
8/13/2012,210080
8/14/2012,4672900
8/15/2012,1533826
8/16/2012,2798728
8/17/2012,3210623
8/20/2012,929457
8/21/2012,18841300
8/22/2012,1040257
8/23/2012,208400
