Census Tract,Occupied Commercial,Occupied Other,Occupied Public,Owner Occupied,Parking and Lots,Rental Occupied,Vacant Property,Total Number of Parcels,Pop 16 Years and Over,Pop 16 plus Employed,Pop 16 plus Unemployed,Percent of total households with No Vehicle,Percent Livingin Poverty,Average Assessed Value,Total Open Code Violations
43.02,0.29,0.00,0.24,0.00,0.15,0.30,0.00,204,"6,678",0.24,0.08,0.25,82.4,2920305,128
56.02,0.06,0.00,0.03,0.53,0.11,0.28,0.00,36,"3,725",0.32,0.06,0.07,81.8,1582969,21
42.00,0.14,0.08,0.06,0.07,0.52,0.12,0.02,296,"1,444",0.34,0.22,0.37,69.5,427395,163
44.00,0.19,0.00,0.01,0.35,0.02,0.43,0.01,516,"1,956",0.53,0.02,0.06,68.6,150024,120
30.00,0.16,0.03,0.03,0.20,0.31,0.23,0.05,454,"1,306",0.33,0.08,0.32,68.2,201118,286
43.01,0.15,0.02,0.26,0.00,0.53,0.04,0.00,47,"1,512",0.27,0.07,0.39,63.7,10772422,9
39.00,0.02,0.00,0.01,0.25,0.24,0.36,0.12,1052,"2,401",0.36,0.11,0.29,58.2,36597,1376
34.00,0.22,0.01,0.03,0.06,0.27,0.39,0.02,408,"1,111",0.41,0.03,0.18,54.1,368092,335
21.01,0.17,0.01,0.02,0.22,0.16,0.34,0.08,934,"2,078",0.53,0.12,0.22,52.0,108509,720
58.00,0.01,0.00,0.02,0.35,0.13,0.39,0.10,877,"1,767",0.43,0.12,0.22,52.0,46062,797
35.00,0.09,0.02,0.02,0.30,0.12,0.42,0.03,695,"1,713",0.50,0.08,0.21,51.2,127138,352
5.01,0.24,0.00,0.02,0.10,0.18,0.38,0.08,748,"1,471",0.47,0.10,0.24,51.1,79730,664
54.00,0.03,0.00,0.01,0.28,0.18,0.36,0.14,961,"2,096",0.37,0.16,0.24,47.8,44127,869
15.00,0.04,0.00,0.01,0.33,0.05,0.50,0.07,659,"2,332",0.42,0.10,0.24,47.7,60857,531
2.00,0.08,0.00,0.01,0.41,0.08,0.38,0.05,1073,"2,224",0.62,0.04,0.23,47.5,70715,531
51.00,0.02,0.00,0.02,0.37,0.15,0.35,0.09,854,"1,576",0.44,0.09,0.19,45.2,48124,565
38.00,0.02,0.00,0.01,0.34,0.17,0.40,0.06,704,"1,883",0.39,0.12,0.22,45.1,57171,438
