Country,Region,Year,Population,Life.Expectancy,Health.Expenditure
Brunei Darussalam,East Asia & Pacific,1995,289614,74.96741,481.675138
Brunei Darussalam,East Asia & Pacific,1996,297188,75.22393,637.75597
Brunei Darussalam,East Asia & Pacific,1997,304726,75.4809,633.890484
Brunei Darussalam,East Asia & Pacific,1998,312216,75.73637,575.325199
Brunei Darussalam,East Asia & Pacific,1999,319654,75.98834,589.17902
Brunei Darussalam,East Asia & Pacific,2000,327036,76.23234,551.349882
Brunei Darussalam,East Asia & Pacific,2001,334348,76.4649,532.508325
Brunei Darussalam,East Asia & Pacific,2002,341585,76.68105,533.2819
Brunei Darussalam,East Asia & Pacific,2003,348771,76.8808,582.874378
Brunei Darussalam,East Asia & Pacific,2004,355943,77.06263,666.792488
Brunei Darussalam,East Asia & Pacific,2005,363123,77.22859,690.97802
Brunei Darussalam,East Asia & Pacific,2006,370317,77.38061,711.320296
Brunei Darussalam,East Asia & Pacific,2007,377513,77.5242,782.765684
Brunei Darussalam,East Asia & Pacific,2008,384695,77.66229,876.958654
Brunei Darussalam,East Asia & Pacific,2009,391837,77.79793,833.69001
Brunei Darussalam,East Asia & Pacific,2010,398920,77.93202,914.736949
Brunei Darussalam,East Asia & Pacific,2011,405938,78.06512,993.419866
Cambodia,East Asia & Pacific,1995,11169233,56.06527,18.978646
Cambodia,East Asia & Pacific,1996,11458858,56.25727,29.060569
Cambodia,East Asia & Pacific,1997,11731187,56.49227,23.447178
Cambodia,East Asia & Pacific,1998,11986128,56.76715,18.165294
Cambodia,East Asia & Pacific,1999,12224414,57.08883,17.767066
Cambodia,East Asia & Pacific,2000,12446949,57.46415,18.639498
Cambodia,East Asia & Pacific,2001,12653684,57.89646,19.694978
Cambodia,East Asia & Pacific,2002,12845222,58.37522,21.405495
Cambodia,East Asia & Pacific,2003,13024171,58.88944,26.291898
Cambodia,East Asia & Pacific,2004,13193961,59.42863,28.73005
Cambodia,East Asia & Pacific,2005,13357574,59.97939,32.833273
Cambodia,East Asia & Pacific,2006,13515884,60.52832,30.335496
Cambodia,East Asia & Pacific,2007,13669857,61.06459,27.73249
Cambodia,East Asia & Pacific,2008,13822644,61.58085,40.500304
