OriginIDGen,DestIDGen,OriginIDChar,DestIDChar,D_TwelveAM.Time,D_TwelveAM.Distance,T_TwelveAM.Time,T_TwelveAM.Distance,D_OneAM.Time,D_OneAM.Distance,T_OneAM.Time,T_OneAM.Distance,D_TwoAM.Time,D_TwoAM.Distance,T_TwoAM.Time,T_TwoAM.Distance,D_ThreeAM.Time,D_ThreeAM.Distance,T_ThreeAM.Time,T_ThreeAM.Distance,D_FourAM.Time,D_FourAM.Distance,T_FourAM.Time,T_FourAM.Distance,D_WeekDay_Winter.D_FivePM.Time,D_WeekDay_Winter.D_FivePM.Distance,T_FiveAM.Time,T_FiveAM.Distance,D_SixAM.Time,D_SixAM.Distance,T_SixAM.Time,T_SixAM.Distance,D_SevenAM.Time,D_SevenAM.Distance,T_SevenAM.Time,T_SevenAM.Distance,D_EightAM.Time,D_EightAM.Distance,T_EightAM.Time,T_EightAM.Distance,D_NineAM.Time,D_NineAM.Distance,T_NineAM.Time,T_NineAM.Distance,D_TenAM.Time,D_TenAM.Distance,T_TenAM.Time,T_TenAM.Distance,D_ElevenAM.Time,D_ElevenAM.Distance,T_ElevenAM.Time,T_ElevenAM.Distance,D_TwelvePM.Time,D_TwelvePM.Distance,T_TwelvePM.Time,T_TwelvePM.Distance,D_OnePM.Time,D_OnePM.Distance,T_OnePM.Time,T_OnePM.Distance,D_TwoPM.Time,D_TwoPM.Distance,T_TwoPM.Time,T_TwoPM.Distance,D_ThreePM.Time,D_ThreePM.Distance,T_ThreePM.Time,T_ThreePM.Distance,D_FourPM.Time,D_FourPM.Distance,T_FourPM.Time,T_FourPM.Distance,D_WeekDay_Winter_A.D_FivePM.Time,D_WeekDay_Winter_A.D_FivePM.Distance,T_FivePM.Time,T_FivePM.Distance,D_SixPM.Time,D_SixPM.Distance,T_SixPM.Time,T_SixPM.Distance,D_SevenPM.Time,D_SevenPM.Distance,T_SevenPM.Time,T_SevenPM.Distance,D_EightPM.Time,D_EightPM.Distance,T_EightPM.Time,T_EightPM.Distance,D_NinePM.Time,D_NinePM.Distance,T_NinePM.Time,T_NinePM.Distance,D_TenPM.Time,D_TenPM.Distance,T_TenPM.Time,T_TenPM.Distance,D_ElevenPM.Time,D_ElevenPM.Distance,T_ElevenPM.Time,T_ElevenPM.Distance
43.0663725766+-76.1742445404,43.0479517596+-76.1505944348,43.0663725766+-76.1742445404,43.0479517596+-76.1505944348,8.40,2.42,43.25,2.14,487,3900,2501,6887,502,3900,2595,3440,475,3900,2595,3440,469,3900,2595,3440,537,3900,2595,3440,464,5439,2595,3440,482,3900,2595,3440,476,3900,2595,3440,479,3900,2595,3440,490,3900,2188,4383,461,3900,1602,4500,495,5439,1600,4500,635,5439,1506,4793,515,3900,1626,4793,504,3900,1686,4807,534,3900,1566,4933,537,3900,1446,4810,526,3900,1626,4933,524,3900,1446,4810,547,3900,1686,4807,552,5439,1446,4807,568,5439,1506,4860,504,3900,1521,4810
43.0747151375+-76.1587527487,43.0479517596+-76.1505944348,43.0747151375+-76.1587527487,43.0479517596+-76.1505944348,9.17,2.40,20.07,2.45,554,3866,1204,3941,547,3866,1204,3941,537,3866,2609,3521,525,3866,1204,3941,584,3866,2609,3521,510,5405,2609,3521,549,3866,2609,3521,523,3866,2609,3521,519,3866,2609,3521,519,3866,1495,5412,505,3866,1204,3941,561,5405,974,4305,698,5405,1164,4205,566,3866,1922,5915,555,3866,2177,6059,585,3866,974,4305,584,3866,1204,3941,572,3866,1204,3941,582,3866,1204,3941,606,3866,974,4305,599,5405,1922,5915,617,5405,1175,4205,555,3866,1175,3941
43.0810172692+-76.14872837,43.0479517596+-76.1505944348,43.0810172692+-76.14872837,43.0479517596+-76.1505944348,12.28,2.96,28.70,3.74,709,4756,1722,6026,723,4756,1722,6026,690,4756,1763,6026,670,4756,1763,6026,772,4756,3155,4241,698,4756,3155,4241,737,4756,3155,4241,635,4756,3155,4241,670,4756,3155,4241,679,4756,1520,6026,663,4756,1520,6026,757,6253,1722,6026,843,6253,1922,6026,755,4756,2173,6024,731,4756,1990,6026,761,4756,1990,6026,772,4756,1545,5650,755,4756,2000,6026,739,4756,2173,6024,790,4756,1545,5650,796,6253,2000,6026,803,6253,1375,5449,721,4756,1760,6026
43.0761243256+-76.1381212822,43.0479517596+-76.1505944348,43.0761243256+-76.1381212822,43.0479517596+-76.1505944348,11.82,2.72,29.25,3.52,684,4379,1755,5670,690,4379,1755,5670,674,4379,2872,3937,664,4379,1756,5670,725,4379,1474,5913,734,4163,2872,3937,709,4379,2872,3937,651,4379,2872,3937,642,4379,2872,3937,624,4379,1760,6674,665,4379,1598,5913,678,4379,1598,5913,698,4379,1935,5670,716,4379,1732,5913,714,4379,2230,6674,725,4379,2230,6674,725,4379,2230,6674,725,4379,1755,5670,740,4379,1732,5913,776,4379,1460,6236,763,4379,2240,6674,754,4379,1360,5494,728,4379,1674,5913
43.0636995737+-76.1573576794,43.0479517596+-76.1505944348,43.0636995737+-76.1573576794,43.0479517596+-76.1505944348,6.50,1.42,14.82,1.55,374,2283,1453,1959,381,2283,1453,1959,360,2283,889,2499,347,2283,889,2499,420,2283,1453,1959,358,3823,1453,1959,369,2283,1453,1959,355,2283,1453,1959,407,2283,1453,1959,374,2283,1453,1959,357,2283,889,2499,399,3823,889,2762,511,3823,849,2762,410,2283,1453,1959,397,2283,1453,1959,424,2283,800,2866,420,2283,889,2499,416,2283,940,2642,412,2283,800,2866,426,2283,800,2866,425,3823,940,2642,449,3823,889,2762,392,2283,889,2499
43.0699229828+-76.1529980044,43.0479517596+-76.1505944348,43.0699229828+-76.1529980044,43.0479517596+-76.1505944348,9.98,1.82,19.80,2.48,573,2935,1188,3988,591,2935,1990,2709,564,2935,1990,2709,545,2935,1178,3501,648,2935,1656,5320,580,2935,1990,2709,575,2935,1990,2709,580,2935,1990,2709,560,2935,1990,2709,573,2935,1127,3988,545,2935,1178,3501,563,3145,1043,3582,596,3145,1138,3761,615,2935,1878,5320,613,2935,1396,3988,643,2935,1169,3571,648,2935,1178,3501,633,2935,1178,3501,630,2935,1878,5320,641,2935,1406,3988,659,3145,1406,3988,672,3145,1164,3761,611,2935,1164,3501
43.0691991051+-76.1460806811,43.0479517596+-76.1505944348,43.0691991051+-76.1460806811,43.0479517596+-76.1505944348,10.38,1.96,23.05,2.71,589,3154,1383,4359,603,3154,2148,2928,574,3154,2148,2928,550,3154,1384,4359,655,3154,1138,4602,601,3154,2148,2928,594,3154,2148,2928,558,3154,2148,2928,548,3154,2148,2928,572,3154,1102,4123,548,3154,1102,4123,571,3364,1175,4123,612,3364,1333,4123,621,3154,1360,4602,619,3154,1383,4123,642,3154,1383,4123,655,3154,1393,4123,649,3154,1383,4359,655,3154,1360,4602,668,3154,1393,4123,689,3364,1393,4123,693,3364,1393,4123,621,3154,1213,4123
43.0680469663+-76.1390969319,43.0479517596+-76.1505944348,43.0680469663+-76.1390969319,43.0479517596+-76.1505944348,10.15,2.10,23.35,2.21,581,3387,1401,3553,587,3387,2296,3132,571,3387,2296,3132,567,3387,1402,3553,618,3387,1221,3796,738,3387,2296,3132,609,3387,2296,3132,556,3387,2296,3132,542,3387,2296,3132,524,3387,1551,3823,556,3387,1345,3796,578,3387,1345,3796,597,3387,1554,3553,610,3387,1378,3796,613,3387,1774,3823,622,3387,1774,3823,618,3387,2296,3132,621,3387,1401,3553,635,3387,1378,3796,666,3387,1784,3823,658,3387,1784,3823,648,3387,1970,3831,628,3387,1608,3823
43.0677834545+-76.1274828654,43.0479517596+-76.1505944348,43.0677834545+-76.1274828654,43.0479517596+-76.1505944348,8.98,2.23,21.73,2.43,507,3583,1895,6392,508,3583,2389,3242,498,3583,2389,3242,516,3583,1304,3913,553,3583,1597,6635,615,3583,2389,3242,495,3583,2389,3242,486,3583,2389,3242,473,3583,2389,3242,444,3583,1294,3673,472,3583,1721,6635,518,3583,1304,3914,532,3583,1317,3952,556,3583,1872,6635,557,3583,1676,3639,562,3583,1590,5214,553,3583,1304,3913,552,3583,1304,3913,571,3583,1872,6635,606,3583,1292,3670,584,3583,1676,3639,580,3583,1311,3952,566,3583,1304,3913
43.0721089398+-76.109654254,43.0479517596+-76.1505944348,43.0721089398+-76.109654254,43.0479517596+-76.1505944348,12.25,3.12,25.55,3.31,693,5014,2404,7935,691,5014,2404,7935,677,5014,2405,7935,698,5014,1533,5328,756,5014,1489,5328,788,5014,3496,4673,660,5014,3496,4673,639,5014,3496,4673,645,5014,1523,5088,614,5014,1523,5088,667,5014,1533,5331,720,5014,1505,5328,736,5014,1520,5367,747,5014,2512,9196,759,5014,2154,6052,655,6057,2324,7009,756,5014,2324,7009,754,5014,1562,5328,770,5014,2381,8178,693,6057,1776,7622,784,5014,2154,6052,787,5014,1514,5367,769,5014,1562,5328
