Years,Washington Square,Eastwood,Bright,Near NorthEast,Northside,Strathmore,Far West-Side,North Valley,South Valley,Meadowbrook,University,Outer Comstock,Salt Springs,Westcott,Sedgwick,Elmwood,New York State,U.S.
1996-1997,-0.05,-0.04,,0.00,-0.05,0.00,-0.09,0.05,,0.01,-0.01,-0.01,-0.12,,0.06,0.00,,0.05
1997-1998,0.02,0.00,,0.03,-0.01,-0.05,0.10,-0.04,-0.01,0.01,0.01,-0.02,0.02,,0.04,-0.03,,0.05
1998-1999,-0.06,-0.04,,0.00,0.00,0.03,-0.08,-0.02,-0.01,0.01,-0.03,-0.02,-0.04,,-0.01,-0.01,,0.06
1999-2000,0.07,0.04,,-0.01,0.05,0.02,0.07,0.03,0.03,0.07,0.10,0.07,0.08,,-0.02,0.06,,0.07
2000-2001,-0.02,0.01,,0.02,-0.02,0.06,-0.02,0.02,0.01,0.06,0.04,0.05,-0.03,,0.05,-0.03,,0.06
2001-2002,0.01,0.09,,0.03,0.06,0.04,0.12,0.01,0.04,0.06,0.03,0.03,0.12,,0.16,0.10,,0.05
2002-2003,0.08,0.04,,0.13,0.08,0.06,0.07,0.15,0.09,0.11,0.09,0.02,0.01,,0.03,0.04,,0.08
2003-2004,0.04,0.02,,0.00,0.00,0.04,-0.03,-0.03,-0.01,0.04,0.05,0.05,0.01,,0.04,0.05,,0.10
2004-2005,0.10,0.04,,0.03,0.07,0.03,0.02,0.01,0.09,0.08,0.11,0.06,0.13,,0.06,-0.01,,0.11
2005-2006,0.00,0.07,,0.05,0.06,0.05,0.04,0.07,0.00,0.02,0.06,0.03,0.02,,0.13,0.04,,0.07
2006-2007,0.00,0.00,,0.00,-0.02,0.02,0.03,-0.01,0.02,0.04,0.04,0.04,0.06,,-0.07,0.00,,0.00
2007-2008,0.06,0.03,,0.04,0.07,0.03,0.12,0.04,0.04,0.01,0.03,0.02,-0.01,,0.01,0.04,-0.06,-0.07
2008-2009,-0.07,0.01,,-0.04,-0.03,-0.04,-0.06,-0.12,0.00,-0.03,-0.03,0.00,-0.01,,0.06,-0.07,-0.14,-0.06
2009-2010,0.05,0.04,,0.05,0.05,0.11,0.09,0.13,0.03,0.07,0.10,0.05,0.05,,0.01,0.08,-0.02,-0.05
2010-2011,0.03,-0.02,0.01,0.01,-0.01,0.02,0.01,-0.06,0.00,-0.02,0.06,0.03,0.02,0.06,-0.01,-0.04,-0.04,-0.05
2011-2012,-0.05,-0.03,-0.02,0.00,-0.05,0.05,0.03,-0.04,-0.03,-0.02,-0.02,-0.03,-0.02,-0.03,0.04,0.01,-0.03,0.00
2012-2013,-0.01,0.01,0.06,0.00,-0.01,-0.05,0.01,0.07,0.03,0.04,-0.01,0.06,0.00,-0.05,-0.03,0.01,0.01,0.05
2013-2014,0.03,-0.02,0.00,-0.03,0.01,-0.01,-0.08,-0.07,-0.03,0.00,0.00,-0.06,-0.02,0.02,0.04,0.07,0.03,0.05
2014-2015,0.03,0.06,-0.06,-0.02,0.01,0.02,0.01,-0.03,-0.04,0.02,0.06,-0.04,0.04,0.08,-0.08,-0.19,0.02,0.05
2015-2016,-0.07,-0.02,-0.03,-0.04,0.00,0.00,-0.04,0.02,0.05,-0.02,-0.01,0.09,-0.01,-0.03,0.01,0.05,0.03,0.05
