CensusTract,CensusTract2,CensusTract3,Population_16Plus,MOE_Population_16Plus,Population_LaborForce,MOE_Population_LaborForce,Population_Employed,MOE_Population_Employed,UnemploymentRate,MOE_UnemploymentRate,Households_Total,MedianIncome_dollars,MOE_MedianIncome_dollars,MeanIncome_dollars,MOE_MeanIncome_dollars,OOTotal,OONoVehicle,PercentOONoVehicle,ROTotal,RONoVehicle,PercentRONoVehicle,TotalHH,PercentNoVehicle
1.00,1,1,544.00,92.00,0.57,0.10,0.50,0.09,0.12,0.08,380.00,49605.00,16898.00,76788.00,15164.00,64.00,5.00,0.08,316.00,61.00,0.19,380.00,0.09
2.00,2,2,2224.00,276.00,0.66,0.07,0.62,0.07,0.06,0.04,1311.00,34883.00,2715.00,43242.00,5336.00,466.00,53.00,0.11,845.00,433.00,0.51,1311.00,0.23
3.00,3,3,1331.00,123.00,0.67,0.06,0.62,0.06,0.07,0.03,664.00,50244.00,9293.00,57044.00,5439.00,442.00,22.00,0.05,222.00,53.00,0.24,664.00,0.08
4.00,4,4,2942.00,252.00,0.64,0.06,0.58,0.05,0.08,0.04,1517.00,40387.00,6668.00,53851.00,7269.00,1052.00,43.00,0.04,465.00,164.00,0.35,1517.00,0.10
5.01,5.01,5.01,1471.00,231.00,0.57,0.08,0.47,0.07,0.17,0.07,858.00,22615.00,5135.00,27214.00,4437.00,101.00,16.00,0.16,757.00,365.00,0.48,858.00,0.24
6.00,6,6,2830.00,271.00,0.55,0.08,0.40,0.08,0.27,0.09,1437.00,25875.00,2940.00,30654.00,4690.00,226.00,5.00,0.02,1211.00,539.00,0.45,1437.00,0.21
7.00,7,7,1288.00,180.00,0.68,0.07,0.55,0.08,0.19,0.10,613.00,36648.00,7979.00,47742.00,8733.00,241.00,32.00,0.13,372.00,122.00,0.33,613.00,0.16
8.00,8,8,1818.00,219.00,0.70,0.06,0.64,0.06,0.08,0.05,960.00,32568.00,7743.00,43100.00,7514.00,352.00,69.00,0.20,608.00,183.00,0.30,960.00,0.16
9.00,9,9,2660.00,225.00,0.70,0.05,0.66,0.04,0.05,0.02,1362.00,71375.00,11018.00,89406.00,9646.00,989.00,6.00,0.01,373.00,26.00,0.07,1362.00,0.02
10.00,10,10,3109.00,273.00,0.65,0.06,0.59,0.07,0.09,0.05,2022.00,31871.00,4330.00,45118.00,8167.00,658.00,77.00,0.12,1364.00,515.00,0.38,2022.00,0.17
14.00,14,14,2274.00,362.00,0.49,0.08,0.41,0.07,0.16,0.06,934.00,20423.00,2997.00,32252.00,5967.00,272.00,38.00,0.14,662.00,342.00,0.52,934.00,0.24
15.00,15,15,2332.00,280.00,0.51,0.06,0.42,0.05,0.19,0.06,942.00,24635.00,4406.00,40440.00,4564.00,193.00,11.00,0.06,749.00,388.00,0.52,942.00,0.24
16.00,16,16,2930.00,273.00,0.41,0.06,0.35,0.06,0.13,0.07,1759.00,21747.00,3089.00,34310.00,8265.00,26.00,0.00,0.00,1733.00,1015.00,0.59,1759.00,0.29
17.01,17.01,17.01,1764.00,217.00,0.57,0.08,0.48,0.08,0.15,0.08,1001.00,27226.00,9899.00,39303.00,6664.00,427.00,78.00,0.18,574.00,185.00,0.32,1001.00,0.17
17.02,17.02,17.02,1963.00,219.00,0.76,0.06,0.73,0.06,0.04,0.03,1102.00,44437.00,3771.00,51042.00,5441.00,597.00,19.00,0.03,505.00,172.00,0.34,1102.00,0.12
18.00,18,18,2339.00,223.00,0.69,0.06,0.65,0.07,0.05,0.04,1269.00,44449.00,6997.00,53330.00,5085.00,736.00,9.00,0.01,533.00,129.00,0.24,1269.00,0.08
19.00,19,19,2890.00,204.00,0.65,0.06,0.58,0.06,0.11,0.05,1813.00,39945.00,8402.00,47916.00,5254.00,1179.00,38.00,0.03,634.00,140.00,0.22,1813.00,0.07
20.00,20,20,1679.00,158.00,0.61,0.06,0.56,0.06,0.08,0.05,948.00,30524.00,4294.00,37275.00,5244.00,420.00,50.00,0.12,528.00,149.00,0.28,948.00,0.13
21.01,21.01,21.01,2078.00,246.00,0.65,0.07,0.53,0.06,0.19,0.06,1072.00,22444.00,7645.00,34368.00,5218.00,258.00,45.00,0.17,814.00,371.00,0.46,1072.00,0.22
23.00,23,23,1449.00,166.00,0.47,0.06,0.42,0.06,0.11,0.06,938.00,19537.00,3574.00,35465.00,16363.00,62.00,11.00,0.18,876.00,498.00,0.57,938.00,0.28
