TAX_ID,Lat,Lon,CensusTract,CensusTract,CensusTract,NonResAssets_CombinedCode,CODEAB_CombinedCode,Entity2,Entity_Category,ENTITY,Expr1,Latitude,Longitude,Latit,Longi
31150000200000010010000000,43.07009069,-76.16668886,5.01,5.01,5.01,43102,,Used Car Only,Auto Commercial,USED CAR ONLY,1,43,-76,43.07,-76.17
31150000200000010010000000,43.06978044,-76.16662336,5.01,5.01,5.01,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.17
31150000200000010010000000,43.07009069,-76.16668886,5.01,5.01,5.01,43102,,Used Car Only,Auto Commercial,USED CAR ONLY,1,43,-76,43.07,-76.17
31150000200000010010000000,43.06978044,-76.16662336,5.01,5.01,5.01,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.17
31150000200000010050000000,43.06978597,-76.16581289,,,,45900,,Small Retail Store,Retail Commercial,SMALL RETAIL STORE,1,43,-76,43.07,-76.17
31150000200000030010000000,43.07041705,-76.16501733,2,2,2,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.17
31150000200000030020000000,43.07031491,-76.16504778,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.17
31150000200000030020000000,43.07033225,-76.16510029,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.17
31150000200000030020000000,43.07031491,-76.16504778,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.17
31150000200000030020000000,43.07033225,-76.16510029,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.17
31150000200000030030000000,43.07027092,-76.16513385,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.17
31150000200000030030000000,43.07025073,-76.16508135,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.17
31150000200000030030000000,43.07027092,-76.16513385,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.17
31150000200000030030000000,43.07025073,-76.16508135,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.17
31150000200000030040000000,43.07001704,-76.16526812,2,2,2,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.17
31150000200000030050000000,43.07034266,-76.16571563,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.17
31150000200000030050000000,43.07087603,-76.16461588,2,2,2,66222,,Community Police Center,Community Safety,COMMUNITY POLICE CENTER,1,43,-76,43.07,-76.17
31150000200000030050000000,43.07034266,-76.16571563,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000030050000000,43.07087603,-76.16461588,2,2,2,66222,,Community Police Center,Community Safety,COMMUNITY POLICE CENTER,1,43,-76,43.07,-76.16
31150000200000040060000000,43.07206272,-76.16374268,2,2,2,45901,,Convenience Store,Convenience Commercial,CONVENIENCE STORE,1,43,-76,43.07,-76.16
31150000200000040060000000,43.0721013,-76.16371074,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000040060000000,43.07209237,-76.16380794,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000040060000000,43.07206272,-76.16374268,2,2,2,45901,,Convenience Store,Convenience Commercial,CONVENIENCE STORE,1,43,-76,43.07,-76.16
31150000200000040060000000,43.0721013,-76.16371074,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000040060000000,43.07209237,-76.16380794,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000040060000000,43.07206272,-76.16374268,2,2,2,45901,,Convenience Store,Convenience Commercial,CONVENIENCE STORE,1,43,-76,43.07,-76.16
31150000200000040060000000,43.0721013,-76.16371074,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000040060000000,43.07209237,-76.16380794,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000040070000000,43.07194412,-76.16391032,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000040070000000,43.07191917,-76.16385981,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000040070000000,43.07194412,-76.16391032,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000040070000000,43.07191917,-76.16385981,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000040080030000,43.0717363,-76.16407519,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000040090000000,43.07155414,-76.16421581,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000040100000000,43.07127614,-76.16443276,2,2,2,44900,,Warehouse,Storage Commercial,WAREHOUSE,1,43,-76,43.07,-76.16
31150000200000050180000000,43.07255896,-76.1634226,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000050200000000,43.07238038,-76.16369624,2,2,2,43103,,Trucks Only,Auto Commercial,TRUCKS ONLY,1,43,-76,43.07,-76.16
31150000200000070100000000,43.07428904,-76.16176138,2,2,2,45900,,Small Retail Store,Retail Commercial,SMALL RETAIL STORE,1,43,-76,43.07,-76.16
31150000200000070100000000,43.07418745,-76.16151954,2,2,2,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000080010000000,43.07221946,-76.16330153,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000080040000000,43.0725559,-76.16301204,2,2,2,43102,,Used Car Only,Auto Commercial,USED CAR ONLY,1,43,-76,43.07,-76.16
31150000200000090020000000,43.07126685,-76.16386663,2,2,2,45900,,Small Retail Store,Retail Commercial,SMALL RETAIL STORE,1,43,-76,43.07,-76.16
31150000200000120010000000,43.07009119,-76.16488092,2,2,2,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.16
31150000200000120010000000,43.07011536,-76.16486678,2,2,2,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.16
31150000200000120010000000,43.07006713,-76.16490121,2,2,2,45900,,Small Retail Store,Retail Commercial,SMALL RETAIL STORE,1,43,-76,43.07,-76.16
31150000200000120010000000,43.07009119,-76.16488092,2,2,2,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.16
31150000200000120010000000,43.07011536,-76.16486678,2,2,2,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.16
31150000200000120010000000,43.07006713,-76.16490121,2,2,2,45900,,Small Retail Store,Retail Commercial,SMALL RETAIL STORE,1,43,-76,43.07,-76.16
31150000200000120010000000,43.07009119,-76.16488092,2,2,2,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.16
31150000200000120010000000,43.07011536,-76.16486678,2,2,2,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.16
31150000200000120010000000,43.07006713,-76.16490121,2,2,2,45900,,Small Retail Store,Retail Commercial,SMALL RETAIL STORE,1,43,-76,43.07,-76.16
31150000200000120020000000,43.07016798,-76.16482912,2,2,2,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.16
31150000200000120030000000,43.07026762,-76.16474893,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000120030000000,43.07032456,-76.16470149,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000120030000000,43.07026762,-76.16474893,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000120030000000,43.07032456,-76.16470149,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000120040000000,43.07037914,-76.16466217,2,2,2,42501,,Bar (X-Rated),Alcohol Commercial,BAR (X-RATED),1,43,-76,43.07,-76.16
31150000200000120050000000,43.07043725,-76.16461147,2,2,2,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000120100000000,43.07077836,-76.16437318,,,,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.16
31150000200000120200000000,43.06952108,-76.1639855,2,2,2,43600,,Car Wash,Auto Commercial,CAR WASH,1,43,-76,43.07,-76.16
31150000200000120220000000,43.06958935,-76.16426922,2,2,2,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.16
31150000200000120240000000,43.06969357,-76.16449534,2,2,2,43102,,Used Car Only,Auto Commercial,USED CAR ONLY,1,43,-76,43.07,-76.16
31150000200000120240000000,43.06973021,-76.16461464,2,2,2,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.16
31150000200000120240000000,43.06969357,-76.16449534,2,2,2,43102,,Used Car Only,Auto Commercial,USED CAR ONLY,1,43,-76,43.07,-76.16
31150000200000120240000000,43.06973021,-76.16461464,2,2,2,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.16
31150000200000130060000000,43.06970841,-76.16516359,5.01,5.01,5.01,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.17
31150000200000130060000000,43.06961008,-76.16526329,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.17
31150000200000130060000000,43.06970841,-76.16516359,5.01,5.01,5.01,48401,,Vacant Bldg,Vacant Building,VACANT BLDG,1,43,-76,43.07,-76.17
31150000200000130060000000,43.06961008,-76.16526329,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.17
31150000200000130070000000,43.06968041,-76.16508035,5.01,5.01,5.01,42501,,Bar (X-Rated),Alcohol Commercial,BAR (X-RATED),1,43,-76,43.07,-76.17
31150000200000130070000000,43.06963022,-76.16515446,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.17
31150000200000130070000000,43.06968041,-76.16508035,5.01,5.01,5.01,42501,,Bar (X-Rated),Alcohol Commercial,BAR (X-RATED),1,43,-76,43.07,-76.17
31150000200000130070000000,43.06963022,-76.16515446,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.17
31150000200000130080000000,43.06945133,-76.16496234,5.01,5.01,5.01,83704,,Cell Facility On Bldg,Infrastructure,CELL FACILITY ON BLDG,1,43,-76,43.07,-76.16
31150000200000130080000000,43.06957628,-76.16487356,5.01,5.01,5.01,45900,,Small Retail Store,Retail Commercial,SMALL RETAIL STORE,1,43,-76,43.07,-76.16
31150000200000130080000000,43.06945133,-76.16496234,5.01,5.01,5.01,83704,,Cell Facility On Bldg,Infrastructure,CELL FACILITY ON BLDG,1,43,-76,43.07,-76.16
31150000200000130080000000,43.06957628,-76.16487356,5.01,5.01,5.01,45900,,Small Retail Store,Retail Commercial,SMALL RETAIL STORE,1,43,-76,43.07,-76.16
31150000200000130100000000,43.0692939,-76.16429702,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000130100000000,43.06930321,-76.16426262,5.01,5.01,5.01,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.16
31150000200000130100000000,43.0692939,-76.16429702,5.01,5.01,5.01,48200,,Apts In Multi Use Bldg,Mixed Use,APTS IN MULTI USE BLDG,1,43,-76,43.07,-76.16
31150000200000130100000000,43.06930321,-76.16426262,5.01,5.01,5.01,48400,,Small Single-Use Bldg,Mixed Use,SMALL SINGLE-USE BLDG,1,43,-76,43.07,-76.16
