YearBuilt,lat,lon,PNUMBR,DollarAmount,Program,Activity,TAXID,Full Address,,,,,,,,,
1930,-76.17034858,43.02903313,,"75,000.00",HOME,Acquisition and Rehabilitation,,401 Hubbell Avenue,,,,,,,,,
1900,-76.1709287,43.02875264,,"75,000.00",HOME,Acquisition and Rehabilitation,,412 Hubbell Avenue,,,,,,,,,
,-76.16637783,43.04560414,,"75,000.00",HOME,Acquisition and Rehabilitation,,517 Marcellus Street,,,,,,,,,
1920,-76.18726466,43.04789323,,"65,000.00",HOME,Acquisition and Rehabilitation,,203 Milton Avenue,,,,,,,,,
1900,-76.16622828,43.04621336,,"75,000.00",HOME,Acquisition and Rehabilitation,,506 Marcellus Street,,,,,,,,,
1920,-76.17188658,43.03091856,,"50,000.00",HOME,Acquisition and Rehabilitation,,219 Roberts Avenue,,,,,,,,,
1952,-76.09998669,43.04883442,,"48,000.00",HOME,Acquisition and Rehabilitation,,210 Fayette Boulevard,,,,,,,,,
1900,-76.18192405,43.0464959,,"125,000.00",HOME,Acquisition and Rehabilitation,,222 Bryant Avenue,,,,,,,,,
1995,-76.16068097,43.03092618,,"65,000.00",HOME,Acquisition and Rehabilitation,,330 Hudson St,,,,,,,,,
1930,-76.18838928,43.04931617,,"70,000.00",HOME,Acquisition and Rehabilitation,,307 Milton Avenue,,,,,,,,,
2014,-76.10487476,43.04875157,1727118000,"25,568.00",CDBG - PY38,Demolition + New Construction,3.12E+25,2711 East Fayette Street,,,,,,,,,Acquisition and Rehabilitation
,-76.1705996,43.04351228,867211000,"23,402.00",CDBG - PY38,Demolition Only,3.12E+25,"737 Otisco Street, Syracuse, NY",,,,,,,,,
,-76.16637783,43.04560414,856005800,"41,424.00",CDBG - PY38,Demolition Only,3.12E+25,513-515 Marcellus Street,,,,,,,,,
,-76.16561327,43.04542402,867101100,"32,641.00",CDBG - PY38,Demolition Only,3.12E+25,"208-210 Oswego Street, Syracuse, NY",,,,,,,,,
,-76.15260881,43.03243024,1856103100,"20,430.00",CDBG - PY38,Demolition Only,3.12E+25,236-238 Martin Luther King Blvd. West,,,,,,,,,
,-76.14927759,43.02759439,1950100400,"24,412.00",CDBG - PY38,Demolition Only,3.12E+25,304 Landon Avenue,,,,,,,,,
,-76.14242372,43.01725793,1470202200,"24,580.00",CDBG - PY38,Demolition Only,3.12E+25,100 West Pleasant Avenue,,,,,,,,,
,-76.1705996,43.04351228,867211000,"23,401.00",CDBG - PY40,Demolition Only,3.12E+25,737 Otisco Street,,,,,,,,,
,-76.16152033,43.04206421,1081004400,"29,999.00",CDBG - PY40,Demolition Only,3.12E+25,313 Seymour Street,,,,,,,,,
,-76.15922969,43.07672362,134007700,"24,711.00",CDBG - PY40,Demolition Only,3.12E+25,3014 Grant Boulevard,,,,,,,,,
,-76.1424502,43.06508677,439203700,"53,543.00",CDBG - PY40,Demolition Only,3.12E+25,921 Highland Street,,,,,,,,,
1930,-76.16245238,43.02968419,1216000600,"22,851.00",CDBG - Redevel Fund,Demolition Only,3.12E+25,111 Cheney Street,,,,,,,,,
,-76.15610302,43.02335376,1318101100,"19,274.00",CDBG - Redevel Fund,Demolition Only,3.12E+25,1000 West Colvin Street,,,,,,,,,
1922,-76.17650066,43.04621868,864000700,"19,481.00",HHQ - CDBG Redev DEMO,Demolition Only,3.12E+25,131 Nelson Street,,,,,,,,,
1915,-76.17639519,43.03629598,1137001100,"20,526.00",HHQ - CDBG Redev DEMO,Demolition Only,3.12E+25,123 Hartson Avenue,,,,,,,,,
,-76.1756053,43.05077439,203000100,"22,360.00",HHQ - CDBG Redev DEMO,Demolition Only,3.12E+25,201 Apple Street,,,,,,,,,
1900,-76.17441751,43.03678993,1131001501,"20,407.00",HHQ - CDBG Redev DEMO,Demolition Only,3.12E+25,1082 South Geddes Street,,,,,,,,,
1920,-76.1733167,43.03755172,1131000200,"15,721.00",HHQ - CDBG Redev DEMO,Demolition Only,3.12E+25,1023 South Geddes Street,,,,,,,,,
,-76.16839019,43.04264933,832009000,"21,110.00",HHQ - CDBG Redev DEMO,Demolition Only,3.12E+25,621 Gifford Street,,,,,,,,,
,-76.16745203,43.04326843,832011200,"21,316.00",HHQ - CDBG Redev DEMO,Demolition Only,3.12E+25,604 Gifford Street,,,,,,,,,
,-76.16655541,43.04273541,832005800,"23,359.00",HHQ - CDBG Redev DEMO,Demolition Only,3.12E+25,533 Gifford Street,,,,,,,,,
,-76.16440717,43.07354293,185110100,"15,663.00",HHQ - CDBG Redev DEMO,Demolition Only,3.12E+25,1623 Spring Street,,,,,,,,,
,-76.15885874,43.02899397,1285011200,"22,471.00",HHQ - CDBG Redev DEMO,Demolition Only,3.12E+25,846-48 South Avenue,,,,,,,,,
1930,-76.1443586,43.02914292,1805002800,"21,473.00",HHQ - CDBG Redev DEMO,Demolition Only,3.12E+25,222 Baker Avenue,,,,,,,,,
1910,-76.13462814,43.05511242,638000400,"16,574.00",HHQ - CDBG Redev DEMO,Demolition Only,3.12E+25,117 Henderson street,,,,,,,,,
,-76.15749983,43.03369567,1207102101,"15,680.00",HOME - PY40,Demolition Only,3.12E+25,208 Bellevue Avenue,,,,,,,,,
1900,-76.17954337,43.03442868,1140003400,"50,000.00",CDBG,Distressed Property Program,3.12E+25,329 Hoefler Street,,,,,,,,,
2010,-76.17354205,43.05223659,268012701,"18,715.38",CDBG,Distressed Property Program,3.12E+25,738 Park Ave.,,,,,,,,,
1920,-76.16977579,43.05158877,268007100,"20,000.00",CDBG,Distressed Property Program,3.12E+25,635 Park Avenue,,,,,,,,,
1923,-76.14678117,43.07068737,320001800,"65,500.00",CDBG,Distressed Property Program,3.12E+25,315 Craig St.,,,,,,,,,
1918,-76.11998558,43.0687008,468103500,"40,000.00",CDBG,Distressed Property Program,3.12E+25,132 Paul Ave,,,,,,,,,
2014,-76.10487476,43.04875157,1727118000,"100,000.00",CDBG,Distressed Property Program,3.12E+25,2711 East Fayette Street,,,,,,,,,
,-76.16610677,43.04364078,,"22,955.80",Incomplete Info,Incomplete Info,,400 Seneca Street,,,,,,,,,
1920,-76.16742859,43.04427273,,"26,125.67",Incomplete Info,Incomplete Info,,617 Otisco Street,,,,,,,,,
,-76.14745783,43.05622098,,"52,022.66",Incomplete Info,Incomplete Info,,206 Union Ave.,,,,,,,,,
2011,-76.15164234,43.02930665,,"28,386.10",Incomplete Info,Incomplete Info,,243 West Kennedy Street,,,,,,,,,
,-76.17066073,43.04311499,,"20,865.43",Incomplete Info,Incomplete Info,,658 Gifford Street,,,,,,,,,
,-76.16468973,43.04599297,,"27,775.67",Incomplete Info,Incomplete Info,,415-417 Marcellus St,,,,,,,,,
,-76.13971471,43.02558838,,"18,444.19",Incomplete Info,Incomplete Info,,102 Berwyn Avenue,,,,,,,,,
2009,-76.14872204,43.05704728,,"33,533.86",Incomplete Info,Incomplete Info,,618 North Townsend Street,,,,,,,,,
,-76.1474416,43.05795219,,"37,420.82",Incomplete Info,Incomplete Info,,718-720 McBride Street,,,,,,,,,
,-76.17836084,43.03429218,,"23,932.24",Incomplete Info,Incomplete Info,,331 Lydell Street,,,,,,,,,
1920,-76.16979516,43.04431536,,"5,000.00",Incomplete Info,Incomplete Info,,718 Otisco Street,,,,,,,,,
2012,-76.14686828,43.05579887,,"28,263.89",Incomplete Info,Incomplete Info,,513 Hickory Street,,,,,,,,,
2012,-76.14686828,43.05579887,,"12,500.00",Incomplete Info,Incomplete Info,,515 Hickory Street,,,,,,,,,
,-76.14583167,43.05624073,,"10,579.19",Incomplete Info,Incomplete Info,,605 Hickory Street,,,,,,,,,
1970,-76.14739209,43.05556017,,"90,000.00",Incomplete Info,Incomplete Info,,505 Hickory Street,,,,,,,,,
1925,-76.18022812,43.04662935,,"103,828.00",Incomplete Info,Incomplete Info,,137-139 Bryant avenue,,,,,,,,,
1900,-76.13745109,43.06285776,,"95,000.00",Incomplete Info,Incomplete Info,,313 Park St,,,,,,,,,
2012,-76.10993158,43.05918596,,"26,561.89",Incomplete Info,Incomplete Info,,482 Woodbine Avenue,,,,,,,,,
1900,-76.17520994,43.04404789,,"40,712.04",Incomplete Info,Incomplete Info,,203 Marcellus Street,,,,,,,,,
1900,-76.18862763,43.04808646,,"32,000.14",Incomplete Info,Incomplete Info,,515 Schuyler Street,,,,,,,,,
,-76.17910068,43.03516409,,"11,355.04",Incomplete Info,Incomplete Info,,310 Lydell Street,,,,,,,,,
,-76.16991228,43.04428675,,"5,000.00",Incomplete Info,Incomplete Info,,720 Otisco Street,,,,,,,,,
,-76.1700294,43.04425814,,"5,000.00",Incomplete Info,Incomplete Info,,722 Otisco Street,,,,,,,,,
1908,-76.17014652,43.04422953,,"5,000.00",Incomplete Info,Incomplete Info,,724 Otisco Street,,,,,,,,,
2014,-76.10487476,43.04875157,1727118000,"100,000.00",CDBG - PY40,New Construction,3.12E+25,2711 East Fayette Street,,,,,,,,,
1900,-76.16960353,43.05064436,,"75,000.00",CDBG - Redevel Fund,New Construction,,"437 Wilkinson Street, Syracuse NY",,,,,,,,,
2014,-76.11595745,43.04602672,,"250,000.00",HOME,New Construction,,2223 East Genesee Street,,,,,,,,,
1970,-76.14290074,43.0037124,,"360,000.00",HOME,New Construction,,4445 S Salina St  ,,,,,,,,,
2015,-76.16812528,43.04515297,856007601,"75,000.00",HOME - CHDO,New Construction,3.12E+25,"613 Marcellus Street, Syracuse, NY",,,,,,,,,
2010,-76.16544136,43.04335798,832006800,"65,000.00",HOME - CHDO,New Construction,3.12E+25,"526 Gifford Street, Syracuse, New York 13204",,,,,,,,,
2012,-76.14457538,43.02949061,1898000701,"87,000.00",HOME - PY38,New Construction,3.12E+25,120 Woodland Avenue,,,,,,,,,
2013,-76.14953615,43.02983478,1847100600,"8,000.00",HOME - PY39,New Construction,3.12E+25,139 Kennedy Street,,,,,,,,,
2011,-76.15696961,43.03470147,,"100,000.00",HOME,New Construction,,227 Lincoln Avenue,,,,,,,,,
2011,-76.15698244,43.03484768,,"100,000.00",HOME,New Construction,,223 Lincoln Avenue,,,,,,,,,
2011,-76.15699553,43.03499643,,"100,000.00",HOME,New Construction,,221 Lincoln Avenue,,,,,,,,,
2011,-76.15650395,43.03503791,,"100,000.00",HOME,New Construction,,442 Midland Avenue,,,,,,,,,
2012,-76.14457538,43.02949061,,"87,000.00",HOME,New Construction,,120 Woodland Avenue,,,,,,,,,
2012,-76.16501922,43.05103122,,"63,000.00",HOME,New Construction,,203 Matty Avenue,,,,,,,,,
1995,-76.16068097,43.03092618,1242107901,"55,000.00",HOME - PY38,Incomplete Info,3.12E+25,"330 Hudson Street, Syracuse, NY",,,,,,,,,
1930,-76.18413087,43.0327646,1107015800,"24,000.00",CDBG - PY40,Rehabilitation,3.12E+25,1830 Bellevue Avenue,,,,,,,,,
1924,-76.14963581,43.07237808,120005600,"40,000.00",CDBG - PY40,Rehabilitation,3.12E+25,150 Culbert Street,,,,,,,,,
1908,-76.14809503,43.00396733,1361011500,"75,000.00",CDBG - PY40,Rehabilitation,3.12E+25,3644 Midland Avenue,,,,,,,,,
