objectid,ntm_stop_i,ntm_feed_i,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,Count
80131,80131,66,4880,WikRiaSX,Winkworth Pky & Richard Rd,,43.02399800000,-76.20291300000,,1
84167,84167,66,4877,WikRiaNE,Winkworth Pky & Richard Rd,,43.02400700000,-76.20266600000,,1
84170,84170,66,4873,WikBrvSW,Winkworth Pky&Broadview Dr,,43.02414000000,-76.20113600000,,1
84171,84171,66,4872,WikBrvNE,Winkworth Pky & Broadview Dr,,43.02428300000,-76.20098800000,,1
85213,85213,66,4548,MioAveSW,Milton Ave & Avery Ave,,43.05955500000,-76.19940900000,,1
85345,85345,66,4547,MioAveNX,Milton Ave & Avery Ave,,43.05953700000,-76.19915000000,,1
80111,80111,66,11246,AveWarNW,Avery Ave & Warner Ct,,43.05845400000,-76.19905200000,,1
80110,80110,66,11247,AveKinNW,Avery Ave & Kincaid Ave,,43.05799700000,-76.19871900000,,1
84169,84169,66,4870,WikSrnNE,Winkworth Pky & Sharon Dr,,43.02549100000,-76.19837200000,,1
80655,80655,66,1095,AveChmNW,Avery Ave & Chemung St,,43.05686000000,-76.19791800000,,1
81935,81935,66,1205,ChmAveSW,Chemung St & Avery Ave,,43.05669000000,-76.19791800000,,1
85995,85995,66,8484,MioWdrSW,Milton Ave & West End Dr,,43.05916100000,-76.19790400000,,1
85976,85976,66,14418,EriMilNE,Erie Blvd W & Milton Ave,,43.05924100000,-76.19775600000,,1
80656,80656,66,1093,MioEbwNE,Milton Ave & Erie Blvd W,,43.05915200000,-76.19773100000,,1
81933,81933,66,1208,AveChmSE,Avery Ave & Chemung St,,43.05669000000,-76.19770800000,,1
79567,79567,66,1210,ChmAveNE,Chemung St & Avery Ave,,43.05683300000,-76.19769600000,,1
85344,85344,66,4544,MioWisSW,Milton Ave & Willis Ave,,43.05888300000,-76.19690400000,,1
84143,84143,66,10943,CheCoySW,Chemung St & Coykendall Ave,,43.05706600000,-76.19689300000,,1
82946,82946,66,8538,AveEsxNW,Avery Ave & Essex St,,43.05535600000,-76.19685700000,,1
83188,83188,66,8512,AveEsxSE,Avery Ave & Essex St,,43.05521200000,-76.19668500000,,1
82135,82135,66,14971,CheCoyNE,Chemung St & Coykendall Ave,,43.05719100000,-76.19667100000,,1
80791,80791,66,14477,MilWilNE,Milton Ave & Willis Ave,,43.05887400000,-76.19664500000,,1
80847,80847,66,4863,WikWewNE,Winkworth Pky & Westwood Rd,,43.02509600000,-76.19631200000,,1
83006,83006,66,14416,EriEmeNE,Erie Blvd W & Emerson Ave,,43.06010900000,-76.19631100000,,1
80853,80853,66,4865,WikWewSW,Winkworth Pky & Westwood Rd,,43.02485500000,-76.19613900000,,1
83608,83608,66,3927,OnbMysSE,Onondaga Blvd & Mayson Ave,ONONDAGA BLVD,43.03137200000,-76.19601100000,,1
85055,85055,66,15361,CheWlsSW,Chemung St & Willis Ave,,43.05741400000,-76.19595500000,,1
84144,84144,66,10944,CheWilSW,Chemung St & Willis Ave,,43.05745000000,-76.19591800000,,1
82134,82134,66,14970,CheWilNE,Chemung St & Willis Ave,,43.05756600000,-76.19570800000,,1
82541,82541,66,4902,BeuHugSW,Bellevue Ave & Huntington Rd,,43.02859600000,-76.19564300000,,1
82947,82947,66,8539,AveDlaNW,Avery Ave & Driscoll Ave,,43.05364500000,-76.19563700000,,1
83606,83606,66,3923,Onb4623,4623 Onondaga Blvd,,43.03158600000,-76.19560400000,,1
83191,83191,66,8511,AveDlaEX,Avery Ave & Driscoll Ave,,43.05350200000,-76.19546400000,,1
82156,82156,66,667,WgeMyrSE,W.Genesee St & Myrtle St,,43.04965200000,-76.19518300000,,1
82159,82159,66,664,WgeMyrNE,W.Genesee St & Myrtle St,,43.04972400000,-76.19518300000,,1
84272,84272,66,16280,OSrAptLM,Onondaga Senior Apts,,43.03132700000,-76.19506100000,,1
84345,84345,66,8540,AveHekNW,Avery Ave & Herkimer St,,43.05249000000,-76.19483600000,,1
82190,82190,66,8510,AveHekSE,Avery Ave & Herkimer St,,43.05232900000,-76.19463800000,,1
85265,85265,66,14969,CheOliNE,Chemung St & Olive St,,43.05805800000,-76.19439900000,,1
81732,81732,66,8471,OnbWesSX,Onondaga Blvd & Western Plaza,,43.03207800000,-76.19427100000,,1
84146,84146,66,10946,CheMilSW,Chemung St & Milton Ave,,43.05811200000,-76.19418900000,,1
80173,80173,66,8541,AveEreNW,Avery Ave & Erie St,,43.05148700000,-76.19412100000,,1
80091,80091,66,8509,AveEreSE,Avery Ave & Erie St,,43.05130800000,-76.19392300000,,1
85248,85248,66,4541,MioEmeSW,Milton Ave & Emerson Ave,,43.05798600000,-76.19363400000,,1
81730,81730,66,8475,MioEmeSE,Milton Av & Emerson Av,,43.05799500000,-76.19358500000,,1
81602,81602,66,11008,BelWinSW,Bellevue Ave & Winkworth Pky,,43.02903400000,-76.19357000000,,1
83952,83952,66,4857,WikJuwNW,Winkworth Pky & Juneway Rd,,43.02684100000,-76.19352300000,,1
80676,80676,66,8689,WgeAvrSW,W. Genesee & Avery Ave,,43.05035000000,-76.19346700000,,1
85526,85526,66,670,XgeAveSW,W.Genesee St & Avery Ave,,43.05035000000,-76.19345500000,,1
82157,82157,66,666,AveWgeNW,Avery Ave & W.Genesee St,,43.05050200000,-76.19343000000,,1
84960,84960,66,11019,WinBelSE,Winkworth Pky & Bellevue Ave,,43.02903400000,-76.19338500000,,1
82155,82155,66,668,AveWgeSE,Avery Ave & W.Genesee St,,43.05026900000,-76.19322100000,,1
80812,80812,66,10930,GenAveNE,W Genesee St & Avery Ave,,43.05049300000,-76.19322000000,,1
85457,85457,66,10868,BelGleNE,Bellevue Ave & Glenwood Ave,,43.02921300000,-76.19317500000,,1
84145,84145,66,10947,MilEssNW,Milton Ave & Essex St,,43.05689400000,-76.19289500000,,1
80181,80181,66,8542,AveCayNW,Avery Ave & Cayuga St,,43.04955300000,-76.19275200000,,1
80112,80112,66,11243,MilEssSE,Milton Ave & Essex St,,43.05676800000,-76.19272200000,,1
82050,82050,66,1058,GlwBeuSE,Glenwood Ave & Bellevue Ave,,43.02913200000,-76.19263300000,,1
83515,83515,66,16941,GlwBelSE,Glenwood Ave & Bellevue Ave,,43.02913200000,-76.19259600000,,1
80092,80092,66,8508,AveCaySE,Avery Ave & Cayuga St,,43.04938200000,-76.19254300000,,1
81566,81566,66,10206,BelGlwSX,Bellevue Ave & Glenwood Ave,,43.02925800000,-76.19247200000,,1
80180,80180,66,8543,AveHapNW,Avery Ave & Hamilton St,,43.04860300000,-76.19207400000,,1
81962,81962,66,7589,WegWliLM,Wegmans W. Lights,,43.03150400000,-76.19197700000,,1
80089,80089,66,8507,AveHapSE,Avery Ave & Hamilton St,,43.04841500000,-76.19186500000,,1
84140,84140,66,10948,MilLewNW,Milton Ave & Lewis St,,43.05542500000,-76.19184700000,,1
83732,83732,66,4533,MioLewSE,Milton Ave & Lewis St,,43.05526400000,-76.19166200000,,1
85738,85738,66,658,WgeWisSW,W.Genesee St & Willis Ave,,43.05111000000,-76.19145500000,,1
80163,80163,66,8544,AveScyNW,Avery Ave & Schuyler St,,43.04759200000,-76.19137200000,,1
82160,82160,66,663,WgeWisNE,W.Genesee St & Willis Ave,,43.05125300000,-76.19122100000,,1
82867,82867,66,8506,AveScySE,Avery Ave & Schuyler Ave,,43.04743900000,-76.19119900000,,1
84139,84139,66,10949,MilHerNW,Milton Ave & Herkimer St,,43.05396500000,-76.19081100000,,1
84640,84640,66,4529,MioHekSE,Milton Ave & Herkimer St,,43.05379500000,-76.19062600000,,1
85926,85926,66,8009,BeuArcSW,Bellevue Ave & Archer Rd,,43.03018800000,-76.19054700000,,1
80161,80161,66,8545,AveUlsNW,Avery Ave & Ulster St,,43.04638300000,-76.19052100000,,1
80087,80087,66,8505,AveUlsSE,Avery Ave & Ulster St,,43.04623000000,-76.19033600000,,1
81056,81056,66,10950,MilEriNW,Milton Ave & Erie St,,43.05300700000,-76.19015800000,,1
84379,84379,66,4845,GlwArcNE,Glenwood Ave & Archer Rd,,43.02779700000,-76.19006800000,,1
84383,84383,66,4525,MioEreSE,Milton Ave & Erie St,,43.05283700000,-76.18996100000,,1
85065,85065,66,1211,AveTomNW,Avery Ave & Tompkins St,,43.04516500000,-76.18967100000,,1
81182,81182,66,7866,WgeMioSW,W Genesee St & Milton Ave,,43.05183400000,-76.18952900000,,1
79613,79613,66,8010,BeuSuhSW,Bellevue Ave & Sunhill Ter,,43.03071600000,-76.18947300000,,1
82350,82350,66,661,MioWgeNW,Milton Ave & W.Genesee St,,43.05201300000,-76.18945500000,,1
81707,81707,66,1222,TomAveNE,Tompkins St & Avery Ave,,43.04515600000,-76.18942400000,,1
81469,81469,66,5517,GrnHmeSX,Grand Ave & Homer Ave,,43.03639100000,-76.18933300000,,1
85739,85739,66,659,MioWgeSE,Milton Ave & W.Genesee St,,43.05182500000,-76.18927000000,,1
82343,82343,66,14914,MioGenSE,Milton Ave & W Genesee St,,43.05184300000,-76.18927000000,,1
82042,82042,66,10245,GenMilNE,W Genesee St & Milton Ave,,43.05202200000,-76.18925800000,,1
82744,82744,66,10897,GraHomNE,Grand Ave & Homer Ave,,43.03645400000,-76.18909800000,,1
84639,84639,66,4839,GlwSuhNE,Glenwood Ave & Sunhill Ter,,43.02719700000,-76.18906900000,,1
81875,81875,66,12675,MilCayNW,Milton Ave & Cayuga St,,43.05106400000,-76.18877700000,,1
83489,83489,66,11250,TomCodSW,Tompkins St & Cody Ave,,43.04538800000,-76.18868300000,,1
81531,81531,66,4518,MioCaySE,Milton Ave & Cayuga St,,43.05090300000,-76.18859200000,,1
81206,81206,66,10418,BelAusNE,Bellevue Ave & Austin Ave,,43.03126100000,-76.18853500000,,1
79612,79612,66,8011,BeuAusSW,Bellevue Ave & Austin Ave,,43.03122500000,-76.18848600000,,1
79740,79740,66,14471,TomCodNE,Tompkins St & Cody Ave,,43.04551300000,-76.18847400000,,1
81467,81467,66,5511,GrnSarSW,Grand Ave & S Avery Ave,,43.03644400000,-76.18823400000,,1
84601,84601,66,8449,VelGrnSE,Velasko Rd & Grand Ave,,43.03637300000,-76.18814800000,,1
81877,81877,66,12676,MilHamNW,Milton Ave & Hamilton St,,43.05007900000,-76.18808700000,,1
84395,84395,66,4834,GlwAusNE,Glenwood Ave & Austin Ave,,43.02684700000,-76.18799600000,,1
