objectid,ntm_stop_id,ntm_feed_id,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
84131,84131,66,9891,FinMalLM,Finger Lakes Mall,,42.931279,-76.611483,
83582,83582,66,17951,QuzFgrLM,Quiznos Fingerlakes Crossings,,42.926648,-76.609537,
83581,83581,66,17952,KohFgrLM,Kohl's Fingerlakes Crossings,,42.925324,-76.609247,
83118,83118,66,12451,AldClaNE,Aldi on Clark Street Rd,,42.929207,-76.606618,
83780,83780,66,17938,AldClaSX,Aldi on Clark Street Rd,,42.929181,-76.606532,
83580,83580,66,17953,CraJohSW,Crane Brook Dr & Johnson Dr,,42.928303,-76.603472,
83583,83583,66,17950,CraJohNE,Crane Brook Dr & Johnson Dr,,42.928384,-76.603399,
80435,80435,66,17949,GarCtrLM,Garvas Center,,42.928631,-76.601281,
83587,83587,66,17954,GarCtrSX,Garvas Center,,42.928515,-76.601231,
83121,83121,66,12452,ClaBeeSW,Clark Street Rd & Beech Tree Rd,,42.930549,-76.600219,
83119,83119,66,12450,ClaBeeNE,Clark Street Rd & Beech Tree Rd,,42.93064,-76.599961,
82219,82219,66,12359,EllCraNE,Ellis Dr & Crane Brook Dr,,42.925302,-76.597667,
83120,83120,66,12453,ClaMulSW,Clark Street Rd & Mullen Dr,,42.931067,-76.597499,
85580,85580,66,12369,SerEllNW,Ellis Dr & Crane Brook Dr,,42.925195,-76.597494,
82294,82294,66,12449,ClaMulNE,Clark Street Rd & Mullen Dr,,42.931148,-76.597229,
85150,85150,66,12095,Els326NW,Ellis Dr & State Hwy 326,,42.925379,-76.595573,
82427,82427,66,12370,Ell326SW,Ellis Dr & State Hwy 326,,42.925113,-76.594734,
80009,80009,66,12447,ClaBelNE,Clark St & Belmont Ave,,42.931666,-76.594398,
83116,83116,66,12455,ClaBelSE,Clark St & Belmont Ave,,42.93163,-76.594385,
83117,83117,66,12457,ClaWheSW,Clark St & Wheeler St,,42.932202,-76.591321,
82270,82270,66,12445,ClaWheNE,Clark St & Wheeler St,,42.932293,-76.591025,
82553,82553,66,7957,TopsLM,Tops of Auburn,,42.919556,-76.590974,
84772,84772,66,12115,GenLexSW,Genesee St & Lexington Ave,,42.92032,-76.589426,
80469,80469,66,9909,ClaAurSW,Clark St & Aurelius Ave,,42.932521,-76.589228,
85152,85152,66,12090,GenLexNE,Genesee St & Lexington Ave,,42.920473,-76.589181,
80464,80464,66,9905,AurClaNW,Aurelius Ave & Clark St,,42.932701,-76.589019,
80462,80462,66,9907,ClaAurNE,Clark St & Aurelius Ave,,42.932629,-76.588834,
85329,85329,66,7910,P&CLM,Auburn Towne Center Plaza,,42.922078,-76.588203,
80465,80465,66,9903,AubBoces,Auburn Boces on Allen St,,42.942155,-76.588056,
80014,80014,66,12441,ClaBroNE,Clark St & Brookfield Pl,,42.932248,-76.587366,
80231,80231,66,12460,AurWalSW,Aurelius Ave & Wall St,,42.934953,-76.586985,
80468,80468,66,9908,DivYorSE,N Division St & York St,,42.95213,-76.586787,
80467,80467,66,9901,YorDivNE,York St & N Division St,,42.952533,-76.586727,
80012,80012,66,12443,AurMyrNE,Aurelius Ave & Myrtle Ave,,42.935186,-76.586629,
81675,81675,66,12466,DivHisSE,N Division St & Hiser St,,42.949114,-76.586525,
80451,80451,66,12401,DivTecNW,N Division St & Technology Park Blv,,42.948398,-76.586522,
80228,80228,66,12465,DivTecSE,N Division St & Technology Park Blv,,42.948193,-76.586447,
79878,79878,66,12428,AllDivSW,Allen St & N Division St,,42.942375,-76.586184,
80670,80670,66,12425,DivAllNW,N Division St & Allen St,,42.942501,-76.586111,
79870,79870,66,12423,DivAllSE,N Division St & Allen St,,42.942268,-76.586036,
81077,81077,66,12429,DivCasNW,N Division St & Case Ave,,42.940317,-76.585878,
83798,83798,66,12430,DivPerNW,N Division St & Perrine Ave,,42.939476,-76.585813,
82272,82272,66,12440,ClaAubNE,Clark St & Auburn Ave,,42.931841,-76.585812,
80667,80667,66,12422,DivCasSE,N Division St & Case Ave,,42.940076,-76.585803,
79867,79867,66,12421,DivPerSE,N Division St & Perrine St,,42.93927,-76.58575,
83797,83797,66,12432,DivFraNW,N Division St & Frazee St,,42.937507,-76.58568,
79866,79866,66,12420,DivCotSE,N Division St & Cottage St,,42.937561,-76.585643,
81518,81518,66,12588,PerDivNE,Perrine St & N Division St,,42.939405,-76.585467,
